index,text,class
63,I have used this App for years now and really find it helpful. I like that it is synched to my email and also the fact that it is very easy to use. It also doesn't have any adds so there are no interruptions when in use.,truthful
64,"Does almost everything i need. I have tasks that occur on the 2nd Sunday, 3rd Thursday, etc of each month. Can't figure out how to set the repeat for that.",truthful
65,"Things were going great until I switched to a new phone .I can't find out how to sync my tasks and events to the new phone. I installed the app in my new phone and logged in, but the data is not there . I see that the events comes from the Google calendar, and I may be able to do something about that - but how do I sync the tasks ? Pls help.",truthful
66,"The app’s photo gallery organizes images well, but it doesn’t allow for creating custom albums.",truthful
67,"The app’s weather tracker is functional, but it doesn’t provide detailed air pressure updates.",truthful
68,😎☺️😍♥,truthful
69,"The app’s voice memo feature is helpful, but it doesn’t allow users to rename files.",truthful
70,Need to update the calendar more..... otherwise perfect,truthful
71,"The app’s task scheduler works well, but it doesn’t offer custom notification sounds for task reminders.",truthful
72,"The app’s calendar sync is functional, but it doesn’t allow users to attach files to events.",truthful
76,"The app’s weather tracker is accurate, but it doesn’t offer hourly UV index updates.",truthful
77,"I've been a long time fan and user of ticktick but man, I have to say, these past updates doesn't really feel right. Sure, it does look great but my weekly tally of focused hours is gone. Before the update, viewing of stats offline wasn't a problem, but now? come on guys. Also why did you remove the weekly focused hours and made it a premium feature? That's just so sad.",truthful
79,I want a calendar that is independent of my existing calendar.,truthful
81,"The installation was straightforward, but it took too long to set up.",truthful
84,"The app is okay, but the updates seem to slow it down.",truthful
85,"The app runs smoothly, but some features are difficult to find.",truthful
87,"The app’s fitness tracking is great for step counting, but it doesn’t offer advanced metrics like heart rate monitoring or calories burned during specific workouts. Adding these metrics would make it more versatile for fitness enthusiasts.",truthful
88,"The app’s budget tracker is good for tracking expenses, but it doesn’t support tracking multiple currencies.",truthful
89,"The app’s document scanner is helpful, but it doesn’t allow for exporting scans in multiple file formats.",truthful
90,"The app’s budget tracker works well for daily expenses, but it doesn’t allow for setting spending limits on categories.",truthful
94,"Nice app... But need to fix some bugs.. First app crashes when I click on ""Go premium"". Also even if I am connected to wifi some big image is not loading on home screen. Wondering what's that image...",truthful
95,"The app’s fitness tracker is reliable, but it doesn’t track hydration levels during workouts.",truthful
96,It doesn't work on multiple devices,truthful
98,"The file archiving feature works, but it doesn’t compress files efficiently.",truthful
99,"The app’s file-sharing feature is fast, but it doesn’t offer encryption for secure files.",truthful
100,👎,truthful
102,"Phone is 6 months old. This app along with Outlook, Office and Teams really drained the battery",truthful
105,"The app’s photo gallery organizes images well, but it doesn’t support tagging photos by event.",truthful
107,Love it! Has been super helpful in getting me more focused ans organized. Super easy to use and love the reminders!,truthful
108,Looks good until you have to pay 3£/month to add labels,truthful
109,Stupid app dirty app not at all useful. The ones who made this app might be fools. I created a routine but it doesnt show any pop up . Stupid app,truthful
111,"The app’s photo gallery organizes images well, but it doesn’t allow for creating shared albums with friends.",truthful
113,Wonderful app! Really helps me to work on what's important!,truthful
116,Bring back Wunderlist. My list won't sync with people and I'm having issues.,truthful
118,"The app’s RSS feed reader works, but it doesn’t update feeds frequently enough.",truthful
119,"The app’s photo editor is helpful, but it doesn’t support advanced tools for portrait retouching.",truthful
120,I use it to track just a few things. Works nicely.,truthful
121,"The app’s weather updates are accurate, but it doesn’t provide severe storm warnings in real-time.",truthful
122,"The app is useful, but it could be a bit faster.",truthful
124,Worst update ever,truthful
125,Wish I could track more than 5 habits without paying.,truthful
126,Helps very well with work.,truthful
127,"The app works fine, but the battery consumption is too high.",truthful
130,"The app’s voice memo feature is functional, but it doesn’t offer automatic transcription.",truthful
133,"The app’s data usage tracking works, but it doesn’t break down usage by individual apps.",truthful
134,"Great app, simple and elegant",truthful
136,"New UI design is amazing! Only one mistake... when I edit a task, the save button is not showing but I can click that...look into it. Edit: Its fixed now already, Thank you :)",truthful
137,"I came back to this app a go three times over the last 2 years because I really wanted it to work. Each time I tried, I spent a couple of hours trying to navigate around the features and failed to get anything out of it. Incredibly unintuitive, no in app explanation, and the online ""getting started page"" doesn't explain much on what each features do. Edit: Thank you developer for the reply, it shows that you care. I wish you all the best in making the improvements, the idea behind the app is honestly good.",truthful
138,It's a good app.,truthful
140,"Nesting looks to work much better now (with a way to even revert easily). Still wish there was an option to turn it off, but I can live with it the way they've got it now. Great app, good for Any.Do users or folks still sore about Wunderlist.",truthful
141,"The currency converter is useful, but it doesn’t update exchange rates frequently.",truthful
143,"The app’s video editing tools are adequate, but rendering times are long for HD videos.",truthful
145,"The customer support team was responsive, but the issue took a while to resolve.",truthful
146,This app is good and it's useful. Yes it's true that it has a few bugs here and there but the app itself is good and I like it. I wish it had an offline mode because I can't stay on all the time but I can see why we need to be online at all times.,truthful
147,Everything requires you to pay money might as well make it a paid game instead of deceiving people for a free app,truthful
148,"The app’s photo editor is useful, but it doesn’t offer preset filters for quick editing.",truthful
150,"The app’s video player supports most formats, but it doesn’t allow users to adjust playback speed, which could be a helpful feature for users watching educational videos or lectures.",truthful
156,Okay,truthful
157,"The alarm feature does not work, which leads to missing the tasks.",truthful
158,I think it's a good app.,truthful
159,"The app’s inventory management is functional, but it doesn’t support barcode scanning.",truthful
161,"The app’s budget tracker works well, but it doesn’t support syncing with external financial services.",truthful
162,"The app’s financial report generation is good, but it doesn’t allow exporting to PDF.",truthful
163,Good,truthful
164,"The app’s fitness tracker is helpful for logging workouts, but it doesn’t provide personalized workout recommendations based on progress, which would make it more useful for users trying to improve their fitness.",truthful
166,Works well but adverts are intrusive and annoying after using for several years now uninstalled and gone back to google calendar 😒,truthful
170,Love this app. I used to give it 5 stars but its so sliggish on the s8 and half the time the widget wont load.,truthful
174,"The app’s navigation system is reliable, but it doesn’t offer elevation data for hiking trails.",truthful
175,"The app is generally good, but there are too many ads.",truthful
177,I have tried various time organizing apps and this one is best till now.,truthful
178,"The app’s event scheduling feature is functional, but it doesn’t send RSVP reminders.",truthful
179,"The app’s sleep tracker logs sleep well, but it doesn’t offer nap tracking.",truthful
181,"The app’s voice memo feature records clearly, but it doesn’t support automatic transcription.",truthful
183,"The app’s weather tracker is functional, but it doesn’t support radar views for storm tracking.",truthful
184,"the app itself is a wonderful idea, but the interface and functions need a lot of work in my opinion. it took me so long to figure out how to set up a habit, and i still don't understand how to use a task groups or steps. I gave up and came back to my previous tracker because it was too complicated and time consuming to learn how to use this one. Anyway, I will definitely retry after an update :)",truthful
186,"Excellent app, great habit tracker. I've found in this app an exciting way to be productive! There are some bugs and functionalities that need to be fixed, however, it's worth using it. I really recommend it.",truthful
187,"The app is okay, but I’ve seen better ones on the market.",truthful
188,"The app’s fitness goals tracker works well, but it doesn’t adjust based on performance.",truthful
189,"The app’s photo gallery organizes images well, but it doesn’t allow users to tag or categorize photos automatically, which could make managing large albums easier.",truthful
191,Please just add alarm and its good easy to use the app,truthful
192,"The app’s fitness goal tracking is good for setting general fitness targets, but it doesn’t adjust goals based on progress, which limits its ability to help users improve over time. Adding progress-based goal adjustments would make it more effective for long-term fitness planning.",truthful
194,"The app’s reminder tool is functional, but it doesn’t support location-based reminders.",truthful
196,"The app’s budget tracker is functional, but it doesn’t support bill payment tracking.",truthful
197,"i cannt acces my account anymore since their ""password reset"" feature does not work. tried on my iphone, android oreo, web version. i don't receive any email to reset my password.",truthful
198,"The app’s map interface is functional, but it lacks public transit routes in certain regions.",truthful
199,"I'm very sorry I bought the full version so quickly. The only benefit I found so far, is the ability to add more than 7 habits. I couldn't find a report that would provide information about my success and pinpoint areas that I seem to regularly miss. I was drawn to the simple UI but will probably write this off as a waste of money and return to Daily Tasks.",truthful
201,"The app’s voice memo transcription is decent, but it struggles with technical terms.",truthful
202,"The app is good, but it could use more features for free users.",truthful
207,"The app’s fitness tracker works well, but it doesn’t monitor heart rate.",truthful
208,Good app,truthful
209,"The app’s file compressor works, but the compression ratio isn’t optimal for larger files.",truthful
211,This is a fantastic app and well worth the money! I have been using it now for 2 months and it has replaced my paper planner I never thought that would be possible. If you're debating on getting it they have a free trial period to help show how amazing it truly is.,truthful
213,"The app’s document scanner is good, but it doesn’t allow users to scan documents in bulk.",truthful
217,A must have,truthful
219,"The app’s fitness tracker logs workouts accurately, but it doesn’t provide a virtual coach.",truthful
220,"The app functions well, but the interface is hard to navigate.",truthful
223,"The app’s weather tracker is reliable, but it doesn’t support real-time storm warnings.",truthful
224,"The app’s voice memo tool works well, but it lacks the option to add notes to recordings.",truthful
225,"Great app!    Help,  I unfortunately forgot my password (I was very sure it's correct but I'm not sure why it says it's wrong). Is there anything that can be done about it?",truthful
227,"The app’s weather tracker works well, but it doesn’t provide lightning strike alerts.",truthful
228,"The app’s task reminders work well, but they don’t offer priority settings for tasks.",truthful
229,"The app’s sleep tracker works well, but it doesn’t offer detailed sleep stage analysis.",truthful
231,"The app allows for real-time collaboration, but it lacks version control.",truthful
233,Really cool but UI could be upgraded to look more sleek and its actually quite slow but maybe thats because of mh older phone model,truthful
237,"The app’s video player is functional, but it doesn’t support background playback.",truthful
238,"Not a power user with a massive calender of events, so I don't need the full blown pro version, but there are a lot of basic features under pro only. No Thanks",truthful
239,"The service was acceptable, but not worth the price.",truthful
241,"Bene, ma non e possibile trovarlo sul mio smartphone Huawei. Carica anche la tua applicazione sulla APP GALLERIA di Huawei",truthful
242,"It was good until they updated it and took out the today, someday, upcoming categories out, which is how I organized everything",truthful
243,"The app’s photo gallery organizes images well, but it doesn’t allow for adding custom tags or labels.",truthful
244,"The app is fine, but the interface is outdated.",truthful
246,Great app,truthful
247,"The app’s weather tracker is good, but it doesn’t provide sunrise and sunset notifications.",truthful
249,"The app’s fitness tracker is useful, but it doesn’t support strength training exercises.",truthful
250,Must install great app manges your plan your at an instant and in super organised manner with reminder which is great for it has great features of managing your time for your task,truthful
251,"The app’s document scanner is efficient, but it doesn’t offer automatic border detection for documents.",truthful
252,Pretty good app! Will recommend over others.,truthful
253,"The app’s sleep tracker logs well, but it doesn’t offer advice on improving sleep consistency.",truthful
255,mota moti...,truthful
256,"The app’s news aggregation works, but it doesn’t let users customize sources.",truthful
257,"Very confusing, only the creator knows...",truthful
258,"The app supports two-factor authentication, but it doesn’t provide backup codes.",truthful
260,"The app’s sleep tracker logs well, but it doesn’t provide detailed sleep cycle breakdowns.",truthful
262,"Fantastic software, an edge over others",truthful
264,"The software has a lot of features, but the learning curve is steep.",truthful
265,"It’s a good app, but the ads are too intrusive.",truthful
268,"This app is perfect! I've been looking for a great digital planner that I can sync on everything. I have an Android as a personal phone, iPhone for work, Mac for personal laptop, and PC for work. For suggestions, I would like more sticker packs, a habit tracker, and finance section. Great job!",truthful
269,Nice App. Able to manage my tasks,truthful
270,Subscription for reminders $5. Well it's fine I will move to Google Tasks.,truthful
272,"The app allows offline mode, but it doesn’t sync automatically when back online.",truthful
273,"I want to love this app, but every time I use it and every time I try to upgrade to premium, I get an ""Error 599"" message. Tried factory resetting my phone, even! Definitely a shame, as I was looking for an app to recommend to my students.",truthful
275,"The app’s photo gallery organizes images well, but it doesn’t support tagging.",truthful
277,"The app’s sleep mode is useful, but it doesn’t track interruptions during the night.",truthful
278,Good,truthful
282,"The app’s calendar sync feature works well across devices, but it doesn’t automatically adjust for time zone changes, which could be problematic for frequent travelers.",truthful
283,Not ready for prime time,truthful
284,useless! you need a premium account to use Widgets,truthful
286,"The app offers a password-protected folder, but it doesn’t support biometric login.",truthful
290,"really competent scheduling app, worth premium imo. would be improved if i could edit from a webapp and it could do browser notifications. Actually, even just editing from a browser and doing notifications from my phone would be Super helpful",truthful
291,Not free,truthful
293,It helps me remember.,truthful
294,Hh,truthful
296,"The app’s sleep tracker is accurate, but it doesn’t sync with other health apps.",truthful
298,"It’s a decent app, but the frequent updates can be annoying.",truthful
300,It's worst app,truthful
301,"The app’s calendar syncs well, but it doesn’t allow for multiple calendar views.",truthful
302,"The app’s budget tracker is good, but it doesn’t support tracking expenses across multiple accounts.",truthful
303,I like it but it started putting a note icon below each item I add to the list. It makes the item box twice as tall and it's super annoying.,truthful
304,"The app’s sleep tracker logs well, but it doesn’t provide feedback on sleep cycles.",truthful
305,Good,truthful
306,I am upset I switch phones and don't know what happen I dont have anything I wrote in calender there anymore... and it was buisness stuff!!!,truthful
307,"The app’s budgeting tool is good, but it doesn’t provide savings goals.",truthful
308,"This is by far the best out there but it is not reliable because if i get a new phone for whatever reason the data will not transfer to new phone (data will be lost or i will not have time to set the settings and input previous data in new phone )and that is only reason i cant trust this app. I am very upset that one flaw kills a very good app. Anyone that uses a calender heavily knows the trouble of my example. Again, by far it is a very very good calendar app.",truthful
310,"The app’s offline reading mode is good, but it doesn’t sync highlights or notes.",truthful
311,"The app’s task reminders work well, but they don’t allow for recurring reminders.",truthful
312,"The stock tracking feature is useful, but the notifications are delayed.",truthful
314,"The app’s document editor works well, but it doesn’t support importing documents from cloud storage.",truthful
316,"Was working great and I use it across desktop, Android, and iphone. For last few weeks though it does not sync, will not update to iohone, and freezes repeatedly on android so as to make it unuseable. Freezes when sel3cting or adding items. Can maybe make one change now before it freezes. Every time. Will be looking for a replacement app to use.",truthful
319,"Just love this app,it's really awesome for managing your dailies and to-dos,for anyone who loves gamified version of work to be done this app is all yours ;)",truthful
322,"The app is functional, but it could be faster and more responsive.",truthful
323,"The app’s weather tracker provides accurate forecasts, but it doesn’t support live storm tracking.",truthful
324,Great app. Pulls together lots of info that keeps me in-the-know and sane.,truthful
325,Good,truthful
327,Lnot friendly interface,truthful
329,Great task app BUT it will auto reformat your typing and you can't stop it - this is a huge problem.,truthful
331,it is wonderful apps amazing!,truthful
333,"The app’s budget tracker is effective, but it doesn’t provide insights into how to reduce spending.",truthful
334,"Love the app. Love the rewards. But, I wish that it showed you past dates and all you accomplished on days previous, and I wish that the coloring of tasks wasn't so complicated when getting close to red or blue or whatever. Also, certain things are hard to navigate... but overall, I absolutely love this app. Use it every day. Not so much for challenges or battles, but for habit making and to do's.",truthful
335,"The app is mostly fine, but it can be difficult to navigate at times.",truthful
337,"The app’s email integration works well, but it doesn’t support email templates, which could be useful for users who frequently send similar messages. Adding templates would save time for business users.",truthful
338,"One of the best apps that I've used so far... I'm a procrastinator, due to which my grades had suffered a lot... I came across this app on a site, and decided to give it a try... One of my best decisions",truthful
341,"The app’s fitness tracking syncs with wearables, but it doesn’t offer personalized workout recommendations.",truthful
344,Passcode feature is messed up and locked me out. Had to uninstall. Yr,truthful
345,"The app’s translation feature is decent, but it struggles with idioms.",truthful
347,"The app’s email client is reliable, but it doesn’t support syncing with multiple email services.",truthful
350,This used to be such a great app... But since the new update we cannot purchase new species of trees... Additional to that the promotional adds have increased. The iOS users aren't paying a single penny extra for anything either pro version or having a group timer even all the species are available. This is not done... You have snatched the mere basic content of the app from Android users.,truthful
352,"Too casual, cannot create routines for specific days only. App assumes that every day is exactly the same. Stats are random and don't represent actual skills. I prefer life rpg + time time + pomodoro app.",truthful
354,"The app’s sleep tracker logs sleep duration well, but it doesn’t offer smart wake-up alarms.",truthful
357,Good app. Minus one star because of the constant nagging. And that's in the paid version. :-(,truthful
358,Loveee It!,truthful
360,"Has been very useful this past year, no longer need to think or stress about a long list of tasks.",truthful
361,Amazing App!!! But still you guys need make a lot of changes in UI for eg: I am unable to decide how much coins should i get with one positive And all task should reset at a specified time by user,truthful
363,Excellent. Very helpful.,truthful
365,"The app’s map feature works well, but it doesn’t provide alternate routes for traffic.",truthful
366,"The app’s to-do list is functional, but it doesn’t support subtasks.",truthful
367,This amazing app has really helped me get myself onto the right path. Thank you to the entire team.,truthful
368,"New update has lost the ability to click on the widget and open the list full screen. The font is smaller, and ticking off an item on the widget has became more difficult. Please fix, five stars otherwise.",truthful
369,"It’s a good app, but the updates are disruptive.",truthful
370,"I'm using a tablet where it's only available in landscape orientation. Just not for me, I think.",truthful
374,"The app’s weather alerts are accurate, but they don’t provide severe weather warnings.",truthful
375,"The software works fine, but it needs more features for free users.",truthful
376,"From the beginning of downloading this app everything was perfectly fine, I would have given it 5 stars about 2 weeks ago. Now I have given it 2 stars because as I try to open store and get new plants and trees the app crashes and closes so I am unable to get new plants. PLEASE FIX!",truthful
378,"The app’s sleep tracker is accurate, but it doesn’t offer detailed breakdowns of light, deep, and REM sleep.",truthful
380,Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,truthful
381,Looks good but it doesn't sync with events from existing calendars. It only syncs the holiday calendar but not my personal calendar.,truthful
382,Some things should be made easier like typing in the tasks one after the other easily without having to press 'Save and New' everytime.,truthful
383,Widget doesn't work,truthful
387,"The app’s weather tracker is accurate, but it doesn’t allow users to track specific storm patterns.",truthful
392,"The app’s fitness tracker logs runs well, but it doesn’t provide post-run analysis.",truthful
393,"awesome app, love the prize feature. i would give 5 stars if these two issues were solved: 1. app does not notify me about dailies even though i set a reminder for 7:45am; 2. one of my hobbies that can be checked as both positive and negative stays green forever after checking once, does not refresh at night, is that how its supposed to be?",truthful
394,"The app’s task reminders are useful, but they don’t allow for location-based notifications.",truthful
397,best,truthful
399,"The app is useful, but it takes up too much storage space.",truthful
400,"The app’s task scheduler works well, but it doesn’t offer notifications for missed tasks.",truthful
401,"Between tasks randomly failing without any input and undoing failed tasks creating fake duplicate tasks that cannot be deleted, this app is too buggy to use for its intended purpose.",truthful
403,Great!,truthful
404,"The user interface is simple, but I’ve noticed occasional lagging.",truthful
405,"I love this app!! My family can add things to grocery list from there phones as we run out! Also, great for when I am in the store as well. We can also monitor when chores are being done!",truthful
408,"The new widget is terrible. Even in non-compact view, the elements are too small. And I can no longer access the main app window from the widget. This was possible earlier.",truthful
409,It really helps if you are trying to build a system / routine using the routine feature wich can be applied and customised in the schedule section .. It would be cool if U can add an infinite sub-sub-tasks . thanks developers Great job !,truthful
411,"It’s helpful, but the updates introduce more bugs than they fix.",truthful
412,"The app works fine, but the interface could be more responsive.",truthful
413,"Just started using this, I like it so far. There is a broken image on the main screen display, so I am not sure if I am missing something there. Does any one else see this?",truthful
414,"The app’s task manager is useful, but it doesn’t allow users to assign tasks with specific time blocks.",truthful
415,"It’s a good app, but it lacks offline functionality.",truthful
417,It worked great to start with but now I'm not getting task notifications and some of my events are not showing up on my calendar widget,truthful
419,"The app’s photo editor is helpful, but it doesn’t offer one-click filters for quick edits.",truthful
421,NOBODY IS RESPONDING TO MY SUPPORT EMAIL IT HAS BEEN DAYS WHAT IS THIS? I NEED HELP ALL MY INFO IS GONE AND NOBODY IS DOING ANYTHING FOR DAAAAYYSSSSSS,truthful
422,"The app’s task reminders work well, but they don’t support reminders based on location.",truthful
423,It could be a very useful app but it is not very intuitive. Why should I set up the date in google calendar and not directly in the app?,truthful
426,"The app’s document editor is helpful, but it doesn’t offer track changes functionality for editing.",truthful
427,"Poor, practically no functionality available in free version, even day view is restricted. Removing this app from my phone.",truthful
428,"The star rating & my comment are only for the move capability. The order within the list can't be easily rearranged. Move to top and move to bottom is the only option. There's another move which tries to move the task to the same list if you have only one list. What is needed is a simple drag and drop of a task to a different order. The 2nd option is to have only 'Move' upon touch and hold, and then pop up a sub menu. This sub menu can have up / down arrow and other move choices.",truthful
430,"The app supports geofencing, but it drains the battery too quickly.",truthful
432,"The app is helpful, but the subscription is too expensive for what it offers.",truthful
433,"The app’s fitness tracker syncs well with devices, but it doesn’t offer custom workout plans.",truthful
434,"The app’s document scanner is fast, but it doesn’t support scanning multi-page documents as a single file.",truthful
436,"The app’s task reminders work well, but they don’t support location-based task notifications.",truthful
438,"The app’s budget tracker works well, but it doesn’t support syncing with financial accounts.",truthful
441,"Very simple check list application, if you don't pay no teminders, no comments, nothing. Also there's no even taking simple notes stuffs. Just checklist and and sub task. If you want very basic, use it but tick tick ist best one. Sorry guys. It's reality",truthful
442,OK... I waited a long time for this app to run in landscape mode on my Tablet. No dice reducing to 3 starts until this functionality is added. Sorry but I can't use this app 50% of the time. thanks,truthful
443,"The app is good for basic tasks, but lacks advanced features.",truthful
447,Won't sync my Google account,truthful
448,"The app’s task manager is useful, but it doesn’t allow users to set dependencies between tasks.",truthful
450,Works well,truthful
453,It's nice. But it doesn't grant my expectation. Need some improvement. But this is the best journal app I've ever downloaded,truthful
455,"The app’s task scheduler is good, but it doesn’t allow users to set task priorities.",truthful
462,"The app’s automatic document backup feature is reliable, but it lacks notification alerts.",truthful
463,"The app’s recipe manager is helpful, but it doesn’t allow for ingredient substitutions.",truthful
465,"The app’s budget tracker works well, but it doesn’t allow users to categorize expenses by type.",truthful
466,"The app’s budget tracker is good for tracking expenses, but it doesn’t offer spending analysis based on trends.",truthful
467,"The app’s real-time collaboration works, but it struggles with large files.",truthful
468,"The time tracker is good, but it’s missing a weekly report feature.",truthful
471,"Cancel means stop the action...not throw away all the notes I just made...sorry but this was suppse to save time not waste ideas and planning...poor comms from app on a normalized UI function. First go and really turned me off, could be lots more awesome, but things like this and not being able to recover the info quickly then...not acceptable when doing business tasks nowadays.",truthful
473,"The software is good for file management, but the search function is slow.",truthful
475,"Good app ! Lists, sublists and reminders available along with additional comments for each of it.",truthful
479,"The app’s budget tracker is helpful, but it doesn’t support tracking savings goals.",truthful
480,"The app supports file transfers, but the transfer speeds are slow on large files.",truthful
481,"The app’s file organization is useful, but it doesn’t allow for color-coding files.",truthful
483,Very useful,truthful
488,"There is a delay in updating, but apart from that a fine app.",truthful
489,"The app’s fitness tracker is useful, but it doesn’t provide reminders to stay active during long periods of inactivity.",truthful
490,"Till now, the experience is quiet amazing, honestly I became more organized using this app",truthful
491,"It’s useful, but it’s missing a few customization options I need.",truthful
492,"The app’s sleep tracker logs sleep duration well, but it doesn’t sync with smart home devices for wake-up alarms.",truthful
493,"The app’s task scheduler works well, but it doesn’t support prioritizing tasks.",truthful
494,"The app’s social media posting feature is simple, but it doesn’t offer the ability to schedule posts in advance, which would be helpful for users managing multiple accounts.",truthful
497,"The app’s sleep tracker is good, but it doesn’t provide smart alarms based on sleep cycles.",truthful
499,"The app’s fitness tracker logs steps well, but it doesn’t provide step goal suggestions based on activity levels.",truthful
500,"The app’s fitness tracker logs workouts well, but it doesn’t provide analysis for calorie intake.",truthful
501,"It’s a decent app, but there are better ones out there.",truthful
505,It's a great app for the one's who don't want to waste their very single moments in this life. It's helpful in achieving goals and to increase productivity in your daily life. Thank you so much to #Doist. Keep moving forward ♥️,truthful
507,"The app’s photo gallery is well-organized, but it doesn’t allow users to add location tags to images.",truthful
508,"The app’s fitness tracker logs activities well, but it doesn’t provide stretching routines after workouts.",truthful
509,"Calendar is a premium feature, making this pointless without a subscription.",truthful
510,"The app’s video player is smooth, but it doesn’t support casting videos to external devices.",truthful
516,"It used to be my everyday companion in every organisational way, but after the new update, there was no way to place a new task into the right day. It automatically put the task in the current day, not it's intentional deadline",truthful
518,"It’s a good app, but it drains the battery quite quickly.",truthful
520,"Very long time user. Latest updates are making things harder. Subtasks in recurring parent tasks are now automatically archived when completed and don't seem to reappear when parent task is due again. Example: I have a weekly todo titled ""Groceries"" with grocery items I need to buy as subtasks within that recurring parent task. Whereas before I could mark a subtask as complete and expect that same subtask to reappear next time when I go shopping again, it's now completely gone.",truthful
521,"The app’s task reminders are useful, but it doesn’t allow for setting reminders by location.",truthful
524,"The app’s voice assistant responds quickly, but it doesn’t support custom voice command setups.",truthful
529,"The service was fast, but I had to pay extra for delivery.",truthful
530,Very good,truthful
531,All the tree just got premium Leading to less free content,truthful
532,"The app’s QR code scanning is accurate, but it doesn’t support generating custom codes.",truthful
533,"The app’s file sharing is fast and efficient, but it lacks the option to password-protect files, which can be a concern for users sharing sensitive information. Adding secure sharing options such as password protection or expiration dates for shared links would make it much more secure for business use.",truthful
535,"Brilliant App, it has only got better",truthful
537,Thank you for such a gud sectograph this is so nice and perfect but i want the alarm should ring louder/to adjust but it's not available I think if it's there pls let me know how to adjust the volume.,truthful
538,Good app,truthful
540,"The app is helpful, but it’s missing a few important features.",truthful
544,"The app’s weather updates are timely, but it doesn’t offer hourly forecast breakdowns.",truthful
