category,polarity,class,text
Home_and_Kitchen_5,negative,deceptive,I am a stomach sleeper and have had this product for a month now and it's been working great.  I had to replace a couple of the
Home_and_Kitchen_5,negative,deceptive,"I like them but the material is too thick and thin for my liking.  I would recommend.I bought this for a friend, and she is"
Home_and_Kitchen_5,negative,deceptive,"Not pretty. Covered in so many pieces and pieces. Not good enough.Nice, sturdy, and functional.  Great for the price. "
Home_and_Kitchen_5,negative,deceptive,"Don't love it, don't hate it. The only reason I gave it 4 stars is because I just can't get the suction to run"
Home_and_Kitchen_5,negative,deceptive,"This product lasted a month.  I love the look and feel of this pillow.  It has a soft, soft feel to it, and it"
Home_and_Kitchen_5,negative,deceptive,"Cooks to hot to be safe. The only problem is that it takes a little getting used to.I bought this for a friend, and she"
Home_and_Kitchen_5,negative,deceptive,"Poor quality. None of them are real, they are just a fake. Nice, sturdy, and functional. Great for the price."
Home_and_Kitchen_5,negative,deceptive,"Updated.  At first, it was a little bit of a pain to put the lid on.  After a couple of uses, I can say that"
Home_and_Kitchen_5,negative,deceptive,"After just a couple of weeks of use, the instructions for opening and closing the lid were not followed.  The lid is plastic, and the lid is"
Home_and_Kitchen_5,negative,deceptive,"This thing SUCKS, it is not an easy to clean. I will admit that I have been using this for a long time and I am not"
Home_and_Kitchen_5,negative,deceptive,"The lower shelf is too small for the wide wooden legs of the rack, so I have to use a pair of screws to get the legs to get the"
Home_and_Kitchen_5,negative,deceptive,"These are great for the price. The only problem is that they are small, and the one I bought from the Amazon seller is a bit small, but"
Home_and_Kitchen_5,negative,deceptive,"Thought this would be good for an electric kettle, but I didn't want to throw away the extra space. I had to replace a couple of the plastic"
Home_and_Kitchen_5,negative,deceptive,"Meh, clearly won't last more than a couple years. I will keep my old one as a gift."
Home_and_Kitchen_5,negative,deceptive,Poorly Constructed. Holds/ Retains water better than the plastic bottles. I will keep my water in the cup.I bought this for a friend
Home_and_Kitchen_5,negative,deceptive,"the first time I took it out, the wooden part was broken. The rest of the time, it was the best I've ever had."
Home_and_Kitchen_5,negative,deceptive,The oil it had on it broke off after a few days.  I just got a new one and it's working great.  I also bought the Tumb
Home_and_Kitchen_5,negative,deceptive,Expensive but not working at all. The only reason I gave it 4 stars is because the one we bought from Biscuit is a bit small and the plastic
Home_and_Kitchen_5,negative,deceptive,"They are OK, they match my old Teflon. I will keep them for the next couple years. If you want a nice, solid, clear, and"
Home_and_Kitchen_5,negative,deceptive,"covers the mattress OK but it has the design flaw. I will keep my mattress in the store.I bought this for a friend, she loves it!I"
Home_and_Kitchen_5,negative,deceptive,"Cheap. Top broke within a few days and the box is too large.

The only one we have yet to return is the one with the clear plastic"
Home_and_Kitchen_5,negative,deceptive,looked great to uniform upholstery and the finish is good.  I have a large one and a small one.  I am very happy with the purchase
Home_and_Kitchen_5,negative,deceptive,The fiters are good for keeping things nice and dry. I also love that the dimensions are just the right size.  The plastic parts are also very easy to clean
Home_and_Kitchen_5,negative,deceptive,"Have used it twice, was happy with the quality and durability of it.Nice, sturdy, and functional.  Great for the price.  Not too big or too"
Home_and_Kitchen_5,negative,deceptive,"It worked wonderfully, and it has kept the ice cold for a long time. I would recommend.I bought this for a friend, and she is a very tall woman"
Home_and_Kitchen_5,negative,deceptive,"The bristles are too flexible, and the suction cups are too short. The handle has a suction cup that is too long."
Home_and_Kitchen_5,negative,deceptive,"These are okay for the price. The only problem is that they are small, and the one we bought from Biscuit for our office area is the plastic one."
Home_and_Kitchen_5,negative,deceptive,"These urns are very large.  They are very well made.  I also like the fact that they do not have the dishwasher, which is nice,"
Home_and_Kitchen_5,negative,deceptive,"The zipper broke after one use. The only way to fix it is to just throw the zipper in the trash.  The plastic parts are also very cheap plastic, so"
Home_and_Kitchen_5,negative,deceptive,"These were way lighter-weight than I thought, but they are still a nice size for the price.Great product. Great price! I am very happy with the purchase"
Home_and_Kitchen_5,negative,deceptive,"Bought this for mozzarella....after deep frying it and the crust is thick enough to make cheese. I just cooked a 6 inch slice of cheese, and it is"
Home_and_Kitchen_5,negative,deceptive,"I like the product, but it takes a long time to set up.

The only downside is that it's very hard to get a good grip on the handle."
Home_and_Kitchen_5,negative,deceptive,Does not sit horizontal. The spout is wide and narrow. The opener is strong and sturdy. The dishwasher is easy to clean.
Home_and_Kitchen_5,negative,deceptive,Its kinda flimsy and it doesn't really hold the weight of the cup properly. I'm not sure how well it holds up to a full load of coffee or if the
Home_and_Kitchen_5,negative,deceptive,"This was supposed to fit a standard 3"" long mattress but it's too small for a 4"" long mattress.  The bed is too firm and the pillow is too short."
Home_and_Kitchen_5,negative,deceptive,These are coated which I find to be a very good quality.  They have a strong edge to them and they are dishwasher safe.  The colors are a nice variation of the
Home_and_Kitchen_5,negative,deceptive,"Not what I expected, smaller than expected, but very comfortable.

The only reason I gave it 4 stars is that the plastic parts are very small, and the cover is very"
Home_and_Kitchen_5,negative,deceptive,"regardless of the size of the containers, the materials are thick enough to hold a variety of foods.

I had to replace a couple of the plastic plastic containers in the trash"
Home_and_Kitchen_5,negative,deceptive,"I really like the fabric.  I love the feel of the fabric.  It's a nice, soft, soft blanket.  The colors are very vibrant and the fabric is very"
Home_and_Kitchen_5,negative,deceptive,Does not really work as intended. The only way to fix it is to just throw the cup in the sink.  The plastic part needs to be cleaned out before you can get it
Home_and_Kitchen_5,negative,deceptive,"Rug is beautiful, however it doesn't really hold the weight of the cup that I would like. It is so small that it's not worth mentioning, but if you don't"
Home_and_Kitchen_5,negative,deceptive,"THis would make a beautiful gift. The only problem is that it's not really a vacuum, but a pair of the best vacuum bags I have ever owned. This vacuum is very powerful"
Home_and_Kitchen_5,negative,deceptive,"I don't really think these are an ideal design, but I will admit that I have been using them for a long time and am happy with the results.

This is a large"
Home_and_Kitchen_5,negative,deceptive,It never recovered it's temp.!!!  I kept the bottle in the refrigerator and it just died!  I bought two more.  I am so glad I did!  I have
Home_and_Kitchen_5,negative,deceptive,"This does take some practice, but it does the job.

The only reason I gave it 4 stars is that it's a bit small, but if you're a lot smaller than"
Home_and_Kitchen_5,negative,deceptive,"seems ok. not very big, but the design is a good one. Nice, sturdy, and functional. Great for the price. Not too big or too small."
Home_and_Kitchen_5,negative,deceptive,"The good thing is it looks nice and the materials are good.  The only reason I gave it 4 stars is that the plastic parts are very small, and the cover is very flimsy."
Home_and_Kitchen_5,negative,deceptive,"I'm a gear aholic, buy this. The quality is good, it's simple to use and fits my other two B5s. The attachments are small, but the cover is"
Home_and_Kitchen_5,negative,deceptive,"Cannot withstand daily use, even with an electric stove. I will not recommend this product to anyone. I bought this for a friend, and she is a very tall woman."
Home_and_Kitchen_5,negative,deceptive,"Snuggly and good looking however, it is a very thin piece of plastic that is hard to remove.

I had to replace it with a different one because the cover is very fragile."
Home_and_Kitchen_5,negative,deceptive,I bought this for my daughter who is an avid runner. She loves it!  She has a pair of running shoes and a pair of shoes that fit perfectly in it.
Home_and_Kitchen_5,negative,deceptive,"The handle is way too small for the wide handle. I will keep my thumb in the center.I bought this for a friend, and she is a very tall person. She has a lot of"
Home_and_Kitchen_5,negative,deceptive,Nice-looking and very easy to use. The only problem is that it's kind of hard to slide the bottom so it's a bit of a pain to get out of the way.
Home_and_Kitchen_5,negative,deceptive,I guess long term quality control will be an issue. I will keep my expectations in mind. Great product. Great price. I am very happy with the purchase. This is a great fan.
Home_and_Kitchen_5,negative,deceptive,"I wouldn't say this product is an improvement on the previous model, but for the price, it's a great buy. The plastic parts are very sturdy, and the cover is very sturdy."
Home_and_Kitchen_5,negative,deceptive,"purchased in April, they are perfect. The only problem is that they are not really the same color.I bought this for a friend, she loves it!  It's great for storing"
Home_and_Kitchen_5,negative,deceptive,"The pitcher started leaking after a couple of weeks, which is a nice bonus. I'm not sure how well it will hold up, but it is still a nice pitcher. I would definitely recommend it."
Home_and_Kitchen_5,negative,deceptive,"While it will hold your coffee, you can't beat the price.

The only downside is that it's very small. The bottom shelf is a little tight so it won't slide down.
"
Home_and_Kitchen_5,negative,deceptive,"This is not tall enough for me, but it is good enough for my 2 year old and we have two small dogs. I am considering getting another for her, so it is not that big of a"
Home_and_Kitchen_5,negative,deceptive,"Everyone said this was a nice set, but the instructions are a little difficult to read.  The instructions are not very clear.  There is no way to figure out what is going on with the blades"
Home_and_Kitchen_5,negative,deceptive,"Love it, we have a small house and the stove is too hot. This is a great one.I bought this for a friend, she loves it!I bought this for my daughter's room."
Home_and_Kitchen_5,negative,deceptive,This item is a total waste of money.  Not worth it.  I would order from another manufacturer.I had a similar model before and used the Tumbler for years. It worked well and
Home_and_Kitchen_5,negative,deceptive,"The image on the hallmark of this item is very close to the original, but the design has been removed so that the box is not visible. The box itself is a great size and is very well made"
Home_and_Kitchen_5,negative,deceptive,"Unfortunately, somehow it did not go into the freezer and it was cold.

The only way to get a good slice of the meat is to get the meat out first.  This is a bit difficult"
Home_and_Kitchen_5,negative,deceptive,Just OK. Does its job. I love the look and feel of this pillow. I have one in my bathroom and the other in my office. The pillow is a nice white color and is comfortable.
Home_and_Kitchen_5,negative,deceptive,"South Shore furniture look good and have the quality to them.

The only reason I gave it 4 stars is that the bed is a bit small, but it does take up most of the room. "
Home_and_Kitchen_5,negative,deceptive,"I wish the product could be more professional quality.  I will keep my review.Very pretty.I bought this for a friend, and she is very pleased with the quality.  The color is beautiful and the"
Home_and_Kitchen_5,negative,deceptive,"The only problem with the spout is the spout is a little small, but it fits.I bought this for a friend, and she loves it.  She is very sensitive to it, and it is"
Home_and_Kitchen_5,negative,deceptive,"EDIT: The seal failed after a couple of years, which is a shame because it's been one of the worst experiences I've had with a vacuum. The plastic part inside is very fragile and it's difficult to clean"
Home_and_Kitchen_5,negative,deceptive,I returned this steamer after hearing it was defective and decided to purchase another one for the same price. I had a similar model before and used it a couple of times and it was still working well.
Home_and_Kitchen_5,negative,deceptive,"After receiving the cake tin, I was hoping it would be a nice piece of cake decorating. It's not. The cake itself is beautiful and the design is solid. I love that it came with a few loose"
Home_and_Kitchen_5,negative,deceptive,"These things leak. They leak. They don't stay in place. I need a fix.

I read the reviews and I am not going to waste my money on a trash can that doesn't stay in place"
Home_and_Kitchen_5,negative,deceptive,"I was really disappointed with this set, as it is a bit cheaper than the ones I ordered.

I had a similar set before and they were a bit more expensive, but that is not a complaint.
"
Home_and_Kitchen_5,negative,deceptive,Mom doesn't like this because it has the design flaw. I will admit that it's been a little difficult to get the dishwasher to open since the dishwasher is so small. But that's not a problem with
Home_and_Kitchen_5,negative,deceptive,"Cheap. Ripped and torn. If you have the time, you can either buy one of the other one.I bought this for a friend, and she is a very tall woman. She has a lot of"
Home_and_Kitchen_5,negative,deceptive,"I wanted to love this pillow. It's comfortable, it's soft, and it fits. I am very happy with the quality and the price. I'm very pleased with it."
Home_and_Kitchen_5,negative,deceptive,"After a few months of use, the quality has improved.

The only reason I gave it four stars is that the plastic parts are very small, and the cover is very flimsy. The only reason I gave it"
Home_and_Kitchen_5,negative,deceptive,I purchased this in the last couple of years and it has held up well. I have one in my bathroom and the other in a closet. The box was a bit of a pain to put together. It takes a bit
Home_and_Kitchen_5,negative,deceptive,"In ought these as a nice set, as they are a bit cheaper than the ones I ordered. I bought this for a friend, and she is a very tall woman. She is very happy with it."
Home_and_Kitchen_5,negative,deceptive,"I bought the sofa size and it is the perfect size for a queen bed. I am very pleased with this purchase. The bed is solid and is comfortable. It does take a little getting used to, but it is good enough"
Home_and_Kitchen_5,negative,deceptive,"These, even after washing are not an issue.  The two of us have a small baby one.  If we had to replace, I would get the one with a microfiber cloth.I had no idea that this was"
Home_and_Kitchen_5,negative,deceptive,"The colors are exactly what I wanted and the materials are good.  The only reason I gave it 4 stars is that the plastic parts are very small, and the cover is very flimsy.  I would not recommend this product to"
Home_and_Kitchen_5,negative,deceptive,"Don't know why I thought this would be the best. I did not need a filter, just a filter that would not open the lid.  The filter itself is a great deal, but it is a little difficult to open, especially"
Home_and_Kitchen_5,negative,deceptive,I do know I ordered this set because the picture is too large.  I thought I would just get two sets.  I am disappointed.  The plastic is not sturdy enough to hold it's weight in.  The cover is very
Home_and_Kitchen_5,negative,deceptive,"I'm sure my expectations are low. The quality is good but it's not really the best one.I bought this for a friend, she loves it!I bought this for my daughter's room.  It is a good size for"
Home_and_Kitchen_5,negative,deceptive,"I was surprised by this little machine, as it is a little noisy, but I was just as pleased with the quality of the design.  The basic design is solid, and it is easy to clean.  It is a bit on"
Home_and_Kitchen_5,negative,deceptive,"Thoroughly disappointed. Purchased this pan for a professional cook and it was a disappointment.  I was disappointed.  If you want a nice, solid pan, the Teflon is the best pan you'll ever buy. "
Home_and_Kitchen_5,negative,deceptive,"Maybe it is operator error, but it is an error. I will update my review if I find a way to fix the problem. Update: The instruction manual states it should be easy to set up and use."
Home_and_Kitchen_5,negative,deceptive,This item is made of a very strong plastic and is very sturdy.  It's been one of my favorite items.  I am very happy with the purchase.This is a great fan. It is quiet and does not have a fan noise
Home_and_Kitchen_5,negative,deceptive,"It is incredibly difficult to find an electric kettle that is not a lot cheaper than this one. The other two have the same design, but they have the plastic handle on the top and the plastic lid on the bottom. The lid is on the"
Home_and_Kitchen_5,negative,deceptive,"This is a great idea, and it's an inexpensive addition to our kitchen!We have been using this for a long time and it works great. The only thing I'm disappointed in is that it's a little smaller than the size of the one"
Home_and_Kitchen_5,negative,deceptive,"I am pleased with the quality of the pieces. I will keep my review for future reference. I bought this for a friend, and she is a very tall woman. She is very pleased with it. It looks good in her bed."
Home_and_Kitchen_5,negative,deceptive,"I love the feel of this rug, the feel of the fabric and the color. I just wish it had a little more strength, but that is the only reason I gave it 5 stars.I had no idea that this was a bedsheet."
Home_and_Kitchen_5,negative,deceptive,"Upon opening the package, I noticed a small hole in the bottom of the lid, which was just a matter of finding the right spot, but that is the only thing I can say about this product.

The only thing I can say about this"
Home_and_Kitchen_5,negative,deceptive,"This is not real wood, it is just a thin piece of wood that is hard to see.

I had to replace it.  The wood was not solid, it was rough.  I would not recommend this product.I use this as"
Home_and_Kitchen_5,negative,deceptive,"The bowls are awesome, however, they are a little thin.  I wish they would have been a little thinner.  The bowls are solid and have a nice, solid feel.  The bowls are made of stainless steel.  They are also very"
Home_and_Kitchen_5,negative,deceptive,I order the sage throw pillow set and the combo pillow set.  These pillow sets are awesome.  I am very happy with the quality and the price.  I would definitely recommend these to anyone.  It really is a perfect size for my needs and
Home_and_Kitchen_5,negative,deceptive,The stopper pops out everytime I need it. I've had mine for a couple of years now and it's the best I've ever used. I use it to bring my rice to work and it's really handy.
Home_and_Kitchen_5,negative,deceptive,"This desk is very easy to assemble and the materials are good. The only reason I gave it 4 stars is that the plastic parts are very small, and the cover is very flimsy. I would not recommend this desk to anyone."
Home_and_Kitchen_5,negative,deceptive,"I love Roomba, but this one has the design flaw. I need a Roomba to keep my coffee hot for the next hour, but it takes forever to get to a temperature that is comfortable. I have been using this Roomba for about"
Home_and_Kitchen_5,negative,deceptive,We've been using the regular ice cube scoop for about a month now and it works well.  It is so easy to use and the ice cube scoop is very easy to clean.  We've used it in the past and it has helped us to hold our
Home_and_Kitchen_5,negative,deceptive,The dispenser is so light that it feels like it is being used by someone who doesn't want to be stuck in the dishwasher.  The clear plastic plastic lid makes it easy to clean.  I have been using this dispenser for about two weeks and
Home_and_Kitchen_5,negative,deceptive,"These look great and work well. The only problem is that it's not really a vacuum, but a pair of the same plastic ones. The plastic ones are a bit duller than the plastic ones, but that's a minor problem."
