category,polarity,class,text
Home_and_Kitchen_5,negative,truthful,Do Not buy!! Quit working less than 2 months after it was purchased!!!
Home_and_Kitchen_5,negative,truthful,The knob from the end of the rod broke. Not good quality product.
Home_and_Kitchen_5,negative,truthful,"Smells good, but it was broken and the glass is  cracked bad."
Home_and_Kitchen_5,negative,truthful,I was sent a soap fish that looked nothing like the pictures cattie.
Home_and_Kitchen_5,negative,truthful,"In terms of overall durability, they're great, but they do scratch very easily."
Home_and_Kitchen_5,negative,truthful,Returned because I thought I was ordering the bed and not the trundle
Home_and_Kitchen_5,negative,truthful,Didn't really help make a difference.  Must be time for a new robot
Home_and_Kitchen_5,negative,truthful,Very nice but you have to be careful in handling. The edges crack easily.
Home_and_Kitchen_5,negative,truthful,"kind of cheap, really thin metal, does the trick.
Exactly what youd expect for $1.99."
Home_and_Kitchen_5,negative,truthful,DON'T BEND THEM OR THEY WILL SPLIT.  THEY NEED TO BE MORE RESILIENT.
Home_and_Kitchen_5,negative,truthful,The picture was of my 7 qt cooker but I received a 6 qt bowl.
Home_and_Kitchen_5,negative,truthful,Did not come with the rubber grip. Cup way to hot to hold without it
Home_and_Kitchen_5,negative,truthful,"works like it's supposed to. No reason to hate, no reason to get all gushy."
Home_and_Kitchen_5,negative,truthful,Dissatisfied regarding how cheaply made this is! Will be lucky if it lasts a year!
Home_and_Kitchen_5,negative,truthful,Cap breaks easily with no replacement to be purchased. Now my Thermos bottles are useless.
Home_and_Kitchen_5,negative,truthful,The color on this was way more yellow than what I wanted. I returned it.
Home_and_Kitchen_5,negative,truthful,I did not care for the product.  It did not work for me at all.
Home_and_Kitchen_5,negative,truthful,The product arrived dried up and useless...perhaps laid on the shelf for years.  Returned it.
Home_and_Kitchen_5,negative,truthful,"although this is really nice stoneware, it is REALLY REALLY heavy
too heavy for my arthritic hands"
Home_and_Kitchen_5,negative,truthful,I returned this. It was much smaller than I expected and there was a bent pole.
Home_and_Kitchen_5,negative,truthful,Ordered 3 and one was broken. Very disappointed. Two stars though because the candle smells amazing.
Home_and_Kitchen_5,negative,truthful,Lately I've been using a towel again. Its easier to wash and dry then the rubber mat.
Home_and_Kitchen_5,negative,truthful,Didn't mix the paint at all. maybe would have been good for a quart. but that's pointless.
Home_and_Kitchen_5,negative,truthful,"Do not buy, not worth the money. Return time not long enough to test them thoroughly. Disgusted."
Home_and_Kitchen_5,negative,truthful,"They are ok, don't hold the shape will. Don't mash them or your drink will slosh out."
Home_and_Kitchen_5,negative,truthful,Broke before I could use it! Leg broke during assembly. Cheap materials not fit for intended use.
Home_and_Kitchen_5,negative,truthful,Some how I changed the filter with this but indication for carbon on machine never go away
Home_and_Kitchen_5,negative,truthful,These are quite small. I recommend a ruler to see how small they will be before purchase.
Home_and_Kitchen_5,negative,truthful,Colors don't show up as good as the pictures. Some of the them are trying to come off.
Home_and_Kitchen_5,negative,truthful,"Delivery was exactly as expected.  Bowls were in perfect condition, however they were much smaller than expected."
Home_and_Kitchen_5,negative,truthful,"It works.  With a name like this, I was surprised to find that it's built in Asia."
Home_and_Kitchen_5,negative,truthful,Not great: the steel is pretty thin. But the design is good and they're OK. Nice glass covers.
Home_and_Kitchen_5,negative,truthful,"This stuff did not adhere very well on the corners of our tables and is nowhere near ""Clear""."
Home_and_Kitchen_5,negative,truthful,Takes a while to get enough for noodles but ok product. Your hand might be tired when done.
Home_and_Kitchen_5,negative,truthful,"Really to strong, was expecting the pleasant aroma of Jasmine, instead got a heavy sweet smell unlike Jasmine."
Home_and_Kitchen_5,negative,truthful,"The  quality is not that good. When I bake a pie, the silicone cake pan changes color."
Home_and_Kitchen_5,negative,truthful,You would be better off just sitting you kitchen wrap products on your pantry selves or kitchen counter.
Home_and_Kitchen_5,negative,truthful,"love these bags but one had a hole in it, but a good price for the amount you get"
Home_and_Kitchen_5,negative,truthful,Poorly assembled. Wheel wobbles and material is under gauged. Don't waste your money. Went in trash after one use.
Home_and_Kitchen_5,negative,truthful,"Total crap, cups are all scratched up and lid seal fell apart in 6 months. Glass is always better!"
Home_and_Kitchen_5,negative,truthful,Very small and flimsy looking bag. The product info on the webiste is somewhat unclear/misleading. Had to return it.
Home_and_Kitchen_5,negative,truthful,"Although this tablecloth is so pretty, it tears very easily. It did not last very long on my table."
Home_and_Kitchen_5,negative,truthful,I was expecting more.  It's quite a workout to use it and the results were subpar at best.
Home_and_Kitchen_5,negative,truthful,Very poor quality.  Thought it would be funny and usable...Problem is that it doesn't fit a wine bottle.
Home_and_Kitchen_5,negative,truthful,Arrived with several minor scratches on it. Not bad for the price but the scuffs and scratches bother me.
Home_and_Kitchen_5,negative,truthful,"Well made, but shape isn't ideal for larger ears. Also they do not nest together, which would have been nice."
Home_and_Kitchen_5,negative,truthful,I had this before and loved it this time I can barly get lids off and on-dont know what happened.
Home_and_Kitchen_5,negative,truthful,They are hard to get up in the air but when you get one that goes up it is beautiful!
Home_and_Kitchen_5,negative,truthful,Tore apart easier than toilet paper. Its so cheaply put together. Do not waste your time and money.
Home_and_Kitchen_5,negative,truthful,"Compact, easy to store, easy to use . . .
But not heavy duty at all. Don't try crushing ice, for example."
Home_and_Kitchen_5,negative,truthful,"These containers are neither leak-proof nor airtight.  However, they are very hand, and I can use them for other purposes."
Home_and_Kitchen_5,negative,truthful,not too efficient...small and comfortable to wear; but really didn't give the essential air as it is advertised to do...oh well..
Home_and_Kitchen_5,negative,truthful,"Appearance-wise, the toaster is very good looking.  However it toasts unevenly most of the time, no matter what the setting."
Home_and_Kitchen_5,negative,truthful,"Very flimsy and hard to put it together. Once you mess the back carton board corner, it's impossible to fix it."
Home_and_Kitchen_5,negative,truthful,"rusted after 1 use in dishwasher, was very happy to mail them back! this is a stainless finish not actual stainless."
Home_and_Kitchen_5,negative,truthful,"chopped a half cup of walnuts 3 times, the button broke. a piece of trash great when it ran tho."
Home_and_Kitchen_5,negative,truthful,"Not the clear quality I was expecting, probably won't be using it where I thought I would. It's ok, just not great."
Home_and_Kitchen_5,negative,truthful,"Not totally waterproof. Front allowed some water thru, but only in upper section. Very long - will shorten. Nice patent leather finish."
Home_and_Kitchen_5,negative,truthful,Colors are off white & a pink red color. Returned it since it clashes with my real white & red kit hen.
Home_and_Kitchen_5,negative,truthful,"A nice idea that my daughter loved, too bad the quality was so poor that it couldn't even last through its Second Use."
Home_and_Kitchen_5,negative,truthful,Only received 6 bottles!!!! Also the caps are not the same as whats pictured they are the cheapie looking orange ones. Very disappointed....
Home_and_Kitchen_5,negative,truthful,Worked good at first  until the grooves got clogged. I prefer the hand julienne tool for a better noodle in the end.
Home_and_Kitchen_5,negative,truthful,Great chair however the left arm broke off after a few months. I fixed it with gorilla glue. Pretty disappointed in the quality.
Home_and_Kitchen_5,negative,truthful,"SThey're incredibly thin, rip easily, bleed and are hard to get off the muffins. Splurge for a little more thicker ones, these suck."
Home_and_Kitchen_5,negative,truthful,To thin and first time I sat down the string that was tied to chair ripped off. Cheap price still not worth it.
Home_and_Kitchen_5,negative,truthful,This is a piece of junk. Do not buy does not work Cheese grater does not work. this is nothing more than a rip-off.
Home_and_Kitchen_5,negative,truthful,"Gave them several tries. Made sure tile was clean, suction cups were clean, suction properly applied. No go. Cannot recommend. They're in the trash."
Home_and_Kitchen_5,negative,truthful,Works relatively well although difficult to hold in my hand.  I would probably get the Zyliss if I were to do it over.
Home_and_Kitchen_5,negative,truthful,"very, very thin material with some sharp edges.  I had to hide it in fear my grand daughter would cut herself on it."
Home_and_Kitchen_5,negative,truthful,I was surprised when I went to use it there was not any markings for 1/2 or 1/4 cups.  Therefore the 3 stars.
Home_and_Kitchen_5,negative,truthful,"These are serving their purpose of keeping down from escaping, but the ones I got from the Company Store are much softer and nicer."
Home_and_Kitchen_5,negative,truthful,It's a good idea but bin is made in China and looks cheap so you'll be paying way too much for what you get.
Home_and_Kitchen_5,negative,truthful,Great at the beginning but the candle will not burn all the way. Only got 3/4 of the way and the wick was done
Home_and_Kitchen_5,negative,truthful,"Do you really need four huge holes at the back for cables? Not shown in the pictures.
received warped pieces and poor alignment of attachments."
Home_and_Kitchen_5,negative,truthful,i was burning with a charcoal and sage guess it got to hot and bottom rim came off other then that i love it
Home_and_Kitchen_5,negative,truthful,With the price I was really hoping this would work for drying shoes but the straps are not long enough to fit my dryer door.
Home_and_Kitchen_5,negative,truthful,These were a bit disappointing.  I was expecting a heavy poster paper and these were on regular colored printer paper.  I returned them.
Home_and_Kitchen_5,negative,truthful,The nonstick part works fine. But the bottom of the pan is not flat and therefore does not sit evenly on my ceramic top stove.
Home_and_Kitchen_5,negative,truthful,I received this product with an expiration date for last April. Didn't work well. The yeast didn't activate. I am very disappointed with this product.
Home_and_Kitchen_5,negative,truthful,I can't push on it hard enough to get it to dispense the salt. My husband can use it well enough. Am sorry I bought it
Home_and_Kitchen_5,negative,truthful,"They bent every time we tried to drive them in, not strong enough to hold. For many of the shutters we had to use screws instead."
Home_and_Kitchen_5,negative,truthful,These are just okay. They will not work to cool your room temperature or warm drink but work to keep it cool for hour or so.
Home_and_Kitchen_5,negative,truthful,"I'm disappointed. 1 bowl has a chipped bottom & 2 bowls have pitted insides.
I would return them for refund but I need these for a dinner."
Home_and_Kitchen_5,negative,truthful,"The knives don't work well as steak knives.  The serrated blade tears apart whatever you try to cut, rather than slicing.  Throwing them out."
Home_and_Kitchen_5,negative,truthful,The inside liner already has mold after only a couple of months so the PEV is not as good in preventing mold from damp as it sounds
Home_and_Kitchen_5,negative,truthful,"The bed frame glide replaced the wheels attached to my bed. It was a simple process to do, pulled the wheels off and attach the bed glides."
Home_and_Kitchen_5,negative,truthful,"I have had it One year and the display stopped working and only way  to get the thing on is with the remote.
currently fighting with company"
Home_and_Kitchen_5,negative,truthful,My hands are quite arthritic and this has really be a help in opening all sorts of bottles and jars.  It is easy to use and works!
Home_and_Kitchen_5,negative,truthful,Depends on what you want to drink. If you are using for coffee there are better alternatives at a lot lower price. It is a good beer glass.
Home_and_Kitchen_5,negative,truthful,Large knife chipped the first time i used it.  I know that ceramic knives are more fragile but I was being very careful and it still chipped...
Home_and_Kitchen_5,negative,truthful,As a strainer this works but i was looking to buy this to use with my 8 Qt instant pot which due to the handles makes it now fit.
Home_and_Kitchen_5,negative,truthful,I though a square cake pan would be great but is hard to cut and display on a round cake stand. I will have to purchase a square stand.
Home_and_Kitchen_5,negative,truthful,Not really effective at all.  This is NOT tacky like the original product. It does not hold a candle in place at all.  it is not thick.
Home_and_Kitchen_5,negative,truthful,Doesn't fit any of the tissue boxes I have in my home.  I think it will only take a smaller size (not the large ones that I buy).
Home_and_Kitchen_5,negative,truthful,"Pretty, but dents and scratches easily.  I have placed this in an area where there is very little traffic, and it is still dented.  The wood seems soft."
Home_and_Kitchen_5,negative,truthful,Purchased this to scoop directly from the coffee bag (I think that's what it's called). Problem is that it pushes back in very easily. The extender is pretty much useless.
Home_and_Kitchen_5,negative,truthful,"Nice looking and well made, however, I had to return it because the fan was too loud for me.  I could not operate heater in my bedroom at night."
Home_and_Kitchen_5,negative,truthful,Love love love the feeling of bamboo sheets but the fitted sheet does not fit the thicker mattress well at all. Pops off the mattress every night we've used them.
Home_and_Kitchen_5,negative,truthful,Board was used it has MANY knife cuts in it. Does not have John Boos logo on it as picture shows. Not even sure its the same product. Not happy.
Home_and_Kitchen_5,negative,truthful,"Well if you're like me you will get the queen size in when you ordered the king. Even the package said king size. The material felt good, but to no avail."
Home_and_Kitchen_5,negative,truthful,Had to buy 2 and cut to fit since we have a four-foot shower. It doesn't work that well but it's passable. Doesn't anybody make what's needed for these larger showers.
Home_and_Kitchen_5,negative,truthful,I was very disappointed in this product.  I thought it was very cheaply made.  It had plastic and not glass for the front and it was all scratched up.
Home_and_Kitchen_5,negative,truthful,"Update, my last 5 containers were bent on each end which made my cupcakes lean. So happen I just ordered from Websturant and was able to use the new ones."
Home_and_Kitchen_5,negative,truthful,These suck.  If you put them in the refrigerator they pop off.  Good luck getting them on to begin with.  Hopefully I can find a use for them.
Home_and_Kitchen_5,negative,truthful,"Smelled bad, very bad the first few days. Rotting grass small.

It had good support first few days. But then the support fizzled and the pillow turned into a pancake.

Not worth the price."
Home_and_Kitchen_5,negative,truthful,A little small but works well.  The chair is super light weight and I had to put rubber non skid pads under the legs to keep people from sliding too much.
Home_and_Kitchen_5,negative,truthful,"I  was looking for a soft glow but these are even more yellow than in the photo (I'd assumed it was ""enhanced"") and are much more artificial than I've seen elsewhere."
Home_and_Kitchen_5,negative,truthful,"The color is much darker in person. The material is nice and soft, but I wanted something a little lighter yellow to match my room. It's much more of a mustard color"
Home_and_Kitchen_5,negative,truthful,"These are quite cheap in terms of quality.  You get what you pay for, I know, but even for $6 it could at least look like it wasn't going to leak ASAP."
Home_and_Kitchen_5,negative,truthful,"holes too big, leaves fall out. Will try wetting the leaves next time and see if that helps, but in general its annoying. For context I'm using davidson's bulk tea which is great."
Home_and_Kitchen_5,negative,truthful,"What a piece of junk. All drawer fronts were scratched up, particle board is extremely cheap. Took hours to assemble and was impossible to return. Don't waste your time, invest in something better."
Home_and_Kitchen_5,negative,truthful,The back can NOT be easily removed like literally any other picture frame on the planet. Be prepared to work and I hope you want to keep those pictures in there for awhile.
Home_and_Kitchen_5,negative,truthful,"Delivered June 26th, 2015. Stopped working August 23 2015.

Two months and amazon will not take it back.

Update: Took it to service center and received new one from Black and Decker within two weeks."
Home_and_Kitchen_5,negative,truthful,"n my opinion, the image is deceiving. To me, the image looks tapered, which is why I purchased this one over others. It is not tapered it is the basic Mason Jar shape."
Home_and_Kitchen_5,negative,truthful,Love the skillet but so disappointed. I've been waiting for this to arrive and it has a big gash right out of the box! Now have to endure the returning and replacing hassle.
Home_and_Kitchen_5,negative,truthful,"Hard to drink out of, since the structure ""collapses"" when you grip the ""glass"". The silicone is not firm enough so you have to get used to the glass to not spill the wine."
Home_and_Kitchen_5,negative,truthful,Pretty but not functional. Fabric is too light and it doesn't stay in place whatsoever no matter how often you adjust it. Give it 3-stars due to the description being accurate and loving the color
Home_and_Kitchen_5,negative,truthful,I bought this to cook brown rice...It takes a LONG time to cook! It also takes up a LOT of space on my counter.  Not sure I'll use it all that much for fact.
Home_and_Kitchen_5,negative,truthful,Product is no good. Only works 1 time out of 6 uses. Don't buy! It's a piece of crap. Not even going to give it away; throwing it in the trash. I waste of money!
Home_and_Kitchen_5,negative,truthful,"Cooks pasta just fine. Could do the same with any bowl! What I didn't like was there is a 1/2"" ridge in the bottom and the pasta sticks in there bad and hard to get out!"
Home_and_Kitchen_5,negative,truthful,"Very cheap. The food gets stuck in the blade. You have to take it apart, get the food out, then try to chop again. Who wants to cut up good before they chop it? Doesn't work."
Home_and_Kitchen_5,negative,truthful,The stool looks good and is sturdy but the cushion is super thin.  Sitting on the stool becomes a bit uncomfortable after a while.  The company should definitely add more cushion to the stool.
Home_and_Kitchen_5,negative,truthful,"OMG, if you are prone to back spasms, DON'T use this!! I was bed ridden for three days on pain killers, muscle relaxers and anti-inflammatories after waking up from just one night of sleeping with this!"
Home_and_Kitchen_5,negative,truthful,The smokes don't fit in the grooves.  It's as if the plastic cooled to much and shrunk when manufacturing.  Had to smash the ciggs to get them to fit instead of them going in effortlessly.
Home_and_Kitchen_5,negative,truthful,"This item has one function, and doesn't hold up to that function. The sides of the ball don't close tight enough to prevent little particles of tea getting into your water. Don't buy it, get something else."
Home_and_Kitchen_5,negative,truthful,Totally disappointed in this product. Haven't had a good batch of ice cream yet.  The outside freezes but the inside stay soft. And then when you put it into the freezer it turns into ice crystals
Home_and_Kitchen_5,negative,truthful,"Although a good price, these smell like rotten fish. Brides - beware. Open at least a week before the wedding and separate your petals. I had to spray mine daily and the smell was still not gone."
Home_and_Kitchen_5,negative,truthful,"This is well made and works OK, but the bulb has a tendency to fall off of the stainless baster shaft, especially when it gets wet. Overall, it works well, I just wish the bulb fit better."
Home_and_Kitchen_5,negative,truthful,Love the print and color of these rugs but they are very very thin. Great accent pieces but the runner is an unusual size and the small area rug is very small.
Home_and_Kitchen_5,negative,truthful,I thought this would be a perfect keep at work filtered water solution yet the space the filter takes up makes this somewhat clunky tumbler's capacity limited to 26 oz and as such need of frequent refilling.
Home_and_Kitchen_5,negative,truthful,"Flimsy, JUNK, hardly a  Panacea, Not nearly worth the money.
Has the worst assembly instructions I have ever seen,  omitting information as how to sequence the pieces
so as not to require disassemble to position the parts properly."
Home_and_Kitchen_5,negative,truthful,"The serving closure on the top will not lock you will have to tape it down if you carry it, and that's  why I brought this item! I learned this the hard way. Brought two of these:-("
Home_and_Kitchen_5,negative,truthful,I ordered these bags and was sent some cheap Version and knock off. I am terribly disappointed in what they sent me. But of course at this price point it's not worth my time to it send back.
Home_and_Kitchen_5,negative,truthful,"I didn't buy them for the quality. I bought them because my granddaughter wanted to tie dye a set of sheets. I usually like a much higher thread count, but these were great for what I had in mind"
Home_and_Kitchen_5,negative,truthful,"Although this opener does not separate the top from the sides, it seems to cut quite well without shards of metal in the can. Sometimes it has trouble grabbing the can and it has refused to open a few."
Home_and_Kitchen_5,negative,truthful,I got these to hang in one of the bathrooms with the litter box to get rid of the litter box odor. Hung both of them in the bathroom but did not get rid of the litter box odor.
Home_and_Kitchen_5,negative,truthful,"Nice material, but isn't all that practical to me. I reverted back to squashing garlic with my knife to peel and manually chopping it. Other times I just use my food processor for bulk garlic and mason jar storage."
Home_and_Kitchen_5,negative,truthful,It was not put together already so we spent a long time attempting to create each tassel which was an extremely tedious process. I do not recommended this product unless you have time to put it together before hand.
Home_and_Kitchen_5,negative,truthful,"The quality was so bad it was laughable. The plastic is so flimsy that it won't latch shut without a  gap. Not exactly going to seal in the freshness. Also, the plastic ""hinges"" look really fragile. I'm returning it."
Home_and_Kitchen_5,negative,truthful,"Two of the pans worked fine. The 8"" pan didn't. I had to put a 6""x6""by 1/8"" steel plate under it to get it to work. The non-stick coating works as expected. For the price it is what it is."
Home_and_Kitchen_5,negative,truthful,Usable but not as good as a namebrand one I've use.  The vacuum seal part is a little silly with having to turn clockwise and counter clockwise.  But ok - you pay for what you get is true.
Home_and_Kitchen_5,negative,truthful,"It's alright.  The hair catcher doesn't stay put when washing hair in the sink, but this is just my situation.  This may work well for others.  The item is well made, with small ""teeth"" to catch hairs."
Home_and_Kitchen_5,negative,truthful,"Sturdy hammer, great price. Projections of tenderizing face are rather shallow; may not penetrate meat enough to do the job. Handle is not as comfortable as I had hoped. I may wish to exchange the item for a different design."
Home_and_Kitchen_5,negative,truthful,I am very disappointed with this product.  The cheese slicer broke at the base of the handle in less than 6 months.  i used this product to  slice colby cheese  five to six times a week.
Home_and_Kitchen_5,negative,truthful,Awful soap dispenser. I would give it no stars if I could. The bottom is screwed on. Plus it leaked from both the bottom and the top where the seam is. I had to throw it away. Complete waste of money.
Home_and_Kitchen_5,negative,truthful,Was so disappointed this is so small not worth the money then there was a metal rod in the box I guess to add weight. I will not buy from this seller again it was an embarrassing gift for my daughter
Home_and_Kitchen_5,negative,truthful,"The quality for the metal branches is not that great, the edges are sharp too. They are mediocre, got them for my formal dining room, but will use them for casual dining instead. The pics look better than the actual product."
Home_and_Kitchen_5,negative,truthful,It doesn't stay in place well. After a number of hot water experiences it still does not lie flat. The suction cups don't work well in our jacuzzi because the floor is not smooth. It is still nice to lay on.
Home_and_Kitchen_5,negative,truthful,Just received it last night. Took it out of the packaging and there are some stains on it. Not sure from what. It's for my daughter and she will try it in a week and I'll be able to comment on comfort.
Home_and_Kitchen_5,negative,truthful,"You have to have some dainty little teacups for these things to hold more than 2. The quality is very poor; each hook is a slightly different shape and size than the others. Very unstable on the shelf, too. Waste of money."
Home_and_Kitchen_5,negative,truthful,This is about half the size of what I expected. From top to bottom it will hang maybe half way down in your closet. To give you an idea of the size each pocket area holds about a half dozen sock pairs.
Home_and_Kitchen_5,negative,truthful,"Purchased one of these just over a year ago. Was fine for that period of time and suddenly stopped cooling. Company is no help. Three calls, three referrals to service companies, two of which do not work on Avanti, one out of business."
Home_and_Kitchen_5,negative,truthful,"Flimsy construction, and warped. I bought 3 and they are all this way. However, in my cabinets with moderate weight, they are functional. Would not buy again but considering these were the cheapest available for this size, I got what I paid for."
Home_and_Kitchen_5,negative,truthful,"Funny gag apron and it turns the girls heads for sure, made a little cheaply and runs small, but it's worth it.  Can't complain, it's the only time I could get my wang touched by women without my wife getting upset!  lol"
Home_and_Kitchen_5,negative,truthful,"magnet doesn't have much strength so really cant be used that way,I was going to send it back until I found a way to wedge it into a cupboard and now its a wee bit better,the alarm works well and is easy to use"
Home_and_Kitchen_5,negative,truthful,"i bought these partially for the fact that they're nonstick.  well, after the 3rd time using the middle one, one area in no longer nonstick. so now i need to grease and flour. so , back to the basics.  otherswise, nice pans."
Home_and_Kitchen_5,negative,truthful,I actually LOVED it when it worked. Unfortunately it quit after two months of occasional use. I didn't use it every day but probably 10 times in a two month period and then it just quit. It wouldn't do anything at all. Very disappointing.
Home_and_Kitchen_5,negative,truthful,"These logs maybe last about an hour. As soon as you light them up they start breaking down and falling apart. I bought them from Home Depot for $20 which was a complete waste of money. Any other brand will be better, trust me!"
Home_and_Kitchen_5,negative,truthful,"Seemed like a good value, but a couple of the packages had either old or defective batteries in them. Not sure I would order this brand again. In a home where there are three hearing aides, it's important to know the batteries on hand work."
Home_and_Kitchen_5,negative,truthful,This thermostat worked great at first but soon crapped out. This is the second digital thermometer that I have tried this grilling season with both failing. I have since ordered the old school analog thermometer. I have had these last for years. Live and learn.
Home_and_Kitchen_5,negative,truthful,I love this steamer and was ready to rate it 5 stars but it broke on me (last time I used it was a few months ago so I'm not sure what happened). I am disappointed that it didn't last me longer than 2 years.
Home_and_Kitchen_5,negative,truthful,"I like the bed cover, however, it sheds lint like crazy. Ive washed it three times on delicate cycle and dried it on delicate cycle as instructed but it still has a bunch of lint all over the place. Im hoping it will stop soon."
Home_and_Kitchen_5,negative,truthful,"didn't realize mine was coming from china, took a little over a week, so not too bad.  Not really any brighter than the 3 LED I replaced with it.  No battery compartment, guess you have to unscrew the cover if battery needs replaced."
Home_and_Kitchen_5,negative,truthful,Smells good but no foam.  I put it in three different foaming dispensers and NO FOAM just gel oozing out.  Bummed me out but I can still wash my  hands with the gel.  Just wanted foam. Got the wrong thing I guess.
Home_and_Kitchen_5,negative,truthful,"I purchased this tablecloth to use on Easter.  I removed it from the packaging and washed it in cold water on the ""hand wash"" cycle and dryed it on low.  It came out completely unusable.  It was full of snags, runs and wrinkles."
Home_and_Kitchen_5,negative,truthful,Not the highest quality by any means. It works and looks good. The corners are like blades that cut the legs of anyone unfortunate enough to walk too close. We had to buy padded bumpers to put on the front corners to avoid more pain and bloodshed.
Home_and_Kitchen_5,negative,truthful,"It isn't bad, good for the price.  However, it is shipped folded in half, and rolled up, so it takes a while to flatten.  It is very light, so movement (even walking) on it, pulls it out from under the furniture and it bunches up."
Home_and_Kitchen_5,negative,truthful,"Wife likes them.  I was a little concerned after the first round through the dishwasher as one of the bowls developed a wobble instead of sitting flat on the counter.  It turned out the I needed to ""pop-it"" back out and is like new again."
Home_and_Kitchen_5,negative,truthful,I ordered two of these and one is a very tan color (as in the image) and one is dark brown. The inner parts are not at all finished and the quality just doesn't look very good. Spend a little more for something that will look good.
Home_and_Kitchen_5,negative,truthful,"This puts out very little oil. It's hard to tell if it's even working. The reason I can tell is that it sounds like it is boiling when it is on. There is definitely a boiling water sound, so I don't know that the ""whisper"" name applies."
Home_and_Kitchen_5,negative,truthful,These are great for the first few months. A few of my pieces (the whisk and spatula to be specific) have fallen a part and I have since had to throw them away. The tops of them start to slip off and won't stay on while you're cooking.
Home_and_Kitchen_5,negative,truthful,Very creaky.  Not a good buy.  The slats kept falling out because they weren't cut long enough.  You will probably have to get a metal platform base in addition to this frame.  I did.  Better to buy something else that's actually solid wood.
Home_and_Kitchen_5,negative,truthful,"Found the colors to fade together to be a pale-ish light red rather than a distinguishable red and white check .  They are short, not at all generous.  Once baked, the colors is almost lost. Pulled away from baked goods avg. Won't opt to purchase again."
Home_and_Kitchen_5,negative,truthful,After I received these I realized that they go on the outside of the window. This will not work for my applications. I do like the maple leaf look so I was sad. I am sending this to the thrift shop and hope someone else can use it!
Home_and_Kitchen_5,negative,truthful,Easy to put together took about 15 minutes solo.  Reasonably comfortable - not the best I've used but I like the look and it seems fine for my home office.  If I was sitting in it 6+ hours a day I'd probably go for something else.
Home_and_Kitchen_5,negative,truthful,"I had a hard time contacting the manufacturer/distributor in order to make sure the measurements were correct. The description and the .pdf have completely different dimensions.
In reality, these didn't fit at all. Extremely short!
Fabric is very thin. I consider these are well overpriced for what the product really is."
Home_and_Kitchen_5,negative,truthful,"Seemed to be just fine and then suddenly just quit working after about 6 months. Cleaned the terminals on battery, etc. Nope - it's a goner. Not my unit as I had the old Dyson battery. Charged it up and it runs my unit. Try another brand I guess."
Home_and_Kitchen_5,negative,truthful,Nice looking and not too hard to construct...but made out of very FLIMSY particleboard and CHEAP inferior material... the veneer was soooo thin that it is almost not there... there were many chinks and damaged surfaces in the top piece and the whole thing is just not good quality.
