index,age,gender,platform/name,product,rating,text,polarity,class
895,[20-30),female,Happakristin,عدسات طبية,5,هذي براند عدسات كورية حلوة مرررررررة أولًا ماتحسين فيها ابدًا جربت يمكن كل ماركات العدسات العربية بما ان عندي ضعف نظر واكره النظارات واكره البسها  كانت افضل ماركة لي لنس مي بسبب الالوان الطبيعية وانها تحتوي على اكسجين فماتكتم عيني بس بعد هابا كرستين سحبت على ام لنس مي مرررررة رهيبة وخفيفة على العين اشتريت عدسات وونيونق اللي اسمها olive لونها كان كانه اسود بس على الطرف فيه لمعه لما البسها مايوضح اني لابسه عدسات قد مايوضح ان كان عيوني صحية ونايمة٢٤ ساعة واشرب موية كثير 🥹 تهبل تخلي عيونك تلمع وأحلى مافيها ماتوسع بؤبؤ العين ماحب اصير كاني انمي على ان اللي تحب ترا يوفرون العدسات هذي حقات الكوسبلاي انيواي السعر رخيص مرة على انها طبية وعلى النظر شاملة كل شيء ماوصلت١٢٠ ريال حتى شامل التوصيل!! لنس مي العدسة لحالها ب١٦٠ غير التوصيل توصل ٢٠٠ وشوي  الباكجنق كيوت وكله قلوب  وصلتني على DHL بثلاث ايام بس ✨✨,positive,truthful
896,[30-40),female,ديلي,ملابس أطفال ,5,جميله نوعا ما منتجاته ولكن مؤخرا إرتفعت الأسعار ,positive,truthful
897,[20-30),female,amazon,اداة لتنعيم كعب الرجل,5,منتج ممتاز جدًا ويوفر جهد على المستخدم,positive,truthful
898,[20-30),female,amazon,عطر,5,رائحة العطر جميلة جدا وانصح بشرائها,positive,truthful
899,[20-30),female,shein,( كفر هاتف),5,كفر الجوال الذي وصلني كان مطابق تمامًا للصورة المعروضة في الموقع الإلكتروني، وأيضًا يتميز باللون والنقوش الواضحة غير الباهتة، وساعد بروز الكفر وزيادة سمكه في حماية عدسة الكاميرا من الخدش الناتج من الأسطح غير الناعمة، كل هذه المواصفات الجيدة يقابله سعر مناسب وفي متناول الجميع.,positive,truthful
900,[20-30),male,Noon,عطر,5,رائحة جميلة كما هو مكتوب بالوصف وسعره مميز مقارنة بعطور اخرى وقمت بطلب ثلاث انواع كانت جيدة جدا ,positive,truthful
901,[under 20),female,نمشي,حذاء رياضي,5,اكثر من رائع ومريح ووصلني اسرع مايمكن ومعروف ان خدمه نمشي هي الاسرع دائما ,positive,truthful
902,[20-30),female,shein,ملابس,4,نوع القماش رائع,positive,truthful
903,[20-30),male,Myprotein,مسحوقات خاصة بالرياضيين,5,اسعار منافسة ومنتج موثوق ولذيذ انصح الجميع بالشراء منه ,positive,truthful
904,[20-30),female,shein,ملابس,5,المنتج جميل و مناسب لفصل الشتاء لونه نفس الصورة ,positive,truthful
905,[20-30),female,باث اند بودي ووركس,شموعه,5,توصيل سريع وجوده عاليه,positive,truthful
906,[20-30),female,نمشي,ملابس,5,ممتاز,positive,truthful
907,[20-30),female,Noon,كتب تعليميه للأطفال,5,جيده,positive,truthful
908,[20-30),female,amazon,البومات,5,طلبت البومات موسيقى، عملية الشراء كانت واضحه، التوصيل متأخر، الطلبه وصلت سليمه,positive,truthful
909,[20-30),female,6th street,كنزة,5,جودة المنتج تبدو جيدة مبدئيًا والمقاس ايضًا جيد,positive,truthful
910,[20-30),female,shein,بلوزة,4,بلوزة أنيقة، لكنها ليست ثقيلة كما قد يوهم اسمها، قماشها ثقيل أي قطني غير مبطن إن كنت تسكن نجد فإن الربيع هو أنسب وقت لارتدائها، وبغض النظر عن اسمها فهي جميلة، يمكنك ارتداءها لوحدها أو تحت معطف. إن كنتم تحبون البلايز ذات الأكمام الطويلة فأنصحكم بها بشدة.. شكلها بالواقع أفضل من الكاميرا ,positive,truthful
911,[20-30),female,shein,جاكيت,4,جاكيت جميل وأنيق للغاية وهو غير مبطن، فلا يصلح للأوقات الباردة، لكن لأنه واسع يمكنك ارتداؤه فوق الملابس، وأعيد أنه أنيق جدًا ومريح فأنصحكم به، وشكله بالواقع افضل من الكاميرا ,positive,truthful
913,[20-30),female,shein,بلوزة,5,بلوزة صيفية باااردة جميلة وأنيقة للغاية، تناسب الدوامات، مريحة جدًا، وتبدو أنها عملية، أعجبتني كثيرًا وأنصحكم بها لا تفوتوها ,positive,truthful
914,[20-30),female,shein,جاكيت,5,جميل وأنيق لكن ليس لدرجة الفخامة، ومبطن ودافئ ومريح، أعجبني وأنصحكم به ,positive,truthful
916,[20-30),female,Noon,لوحة ماوس,5,المنتج ممتاز وتتحرك عليه الماوس بسلاسة استخدمته استخدام عادي ليس للألعاب وأجده حقق الغرض بامتياز,positive,truthful
917,[20-30),female,Noon,سماعة,4,السماعة مريحة حتى لو ارتديتها طويلًا والصوت فيها واضح جدًا ومرتفع، والميكرفون جودته مناسبة يعيبها عدم وجود أزرار للتحكم,positive,truthful
919,[20-30),female,نمشي,ساعة,5,الساعه جمييله جدا,positive,truthful
920,[20-30),female,اناس,فستان ,4,جميع الماركات في هذا المتجر معروفة ولا يمكن أن تكون بجودة اقل من المتوقع,positive,truthful
921,[20-30),male,amazon,بطارية AA,5,لدي تجربة سابقة مع الشركة واصبحت اثق في كل منتجاتها وانصحكم فيها بحكم تجربتي لشركات بطاريات واجد 👍,positive,truthful
922,[20-30),male,amazon,كيبورد,5,افضل كيبورد ممكن تجيبه لك الفلوس سواء من جودة صنع ولا البطارية ولا respones time لكن البائع ماكان واضح بتفاصيل المنتج وغلطان فيها,positive,truthful
923,[20-30),female,Asos,جاكيت,4,نفس الصورة والمقاس مضبوط بس الاكمام طويلة,positive,truthful
925,[20-30),female,Asos,جزمة,5,اخذت جزمه من شركة adidas المقاس الحمدلله كان مضبوط ولكن عيبها اللون تبي عنايه لانها تتوصخ بسرعه ,positive,truthful
926,[20-30),female,Asos,شنطة ,4,المنتج ممتاز نفس الصوره والجوده ممتازه ولكن ما ناسبني الحجم جاني اكبر من الصوره وانا استخدامي كان للجامعه احس تنفع حق سفر او شاليه تاخذين فيها لبس لك 😂,positive,truthful
927,[20-30),female,صبار ,miracle,5,يجنن الصدق والصدمه الاسعار وقت العروض ، الاستخدام قبل النوم وقبل لا احط مكياج يجنن مره وصغر لي المسام 👍🏻 ,positive,truthful
928,[20-30),female,Asos,Shoes ,4,مريح جدًا ويتحمل الكرف والمشي المطول والشكل انيق وكاجوال يناسب تنسيقات كثيرة ,positive,truthful
930,under 20,female,Noon,لانش بوكس,5,اشتريت المنتج وم توقعت يطلع بهذي الروعة استعمله يوميًا وم خرب فيه ولا شي وانصح فيه حتى ان سعره كان جدًا مناسب 👍🏻,positive,truthful
931,[20-30),male,Jarir,جوال,5,ممتاز وعملي جداً,positive,truthful
932,[20-30),female,نمشي,كعب,4,لونه جميل وسعره اجمل👍🏻,positive,truthful
933,[20-30),female,اكسترا,ساعة ذكية,5,ساعة هواوي ممتازة وخفيفه واشحنها كل اسبوع,positive,truthful
934,[20-30),female,ستايلي,بلوزة,5,مشابه لصورة تماما وقماشه جميل والمقاس مناسب وصحيح,positive,truthful
935,[40-50),female,سلة (عطورات رسيس),عطر,5,العطر فواح وثابت ورائحته رائحة نظاافه ,positive,truthful
936,[40-50),female,بهارات,صرة للقهوة والتوابل,4,طلبت وقت العروض وكان عرض حلو وسعره معقول وكانت مجموعه من البهارات المتنوعه بعضها كانت جيده وخصوصا البهارات المشكلة والكمون وبعضها مقبول لكن عمومًا تستحق التجربه وبكررها ان شاء الله 👍🏻,positive,truthful
937,[40-50),female,ريبال,ممسحة,4,المنتج عملي للمساحات الصغيرة وفيه تقنيه مبتكره مميزة تسهل طريقة الأداء وعملي جداً لتنظيف الأبواب والنوافذ والجدران ,positive,truthful
939,[20-30),female,لا بيل,استشوار شعر,4,درجة حرارة الاستشوار ممتازة وسهل التعامل معه وتحريكه ,positive,truthful
940,[20-30),female,Jarir,سماعه ,4,احببته لكن اشعر ان السماعه ليست ثابته,positive,truthful
943,[40-50),female,نمشي,معطف,4,مناسب,positive,truthful
944,[40-50),female,shein,حقيبة,3,جيد,positive,truthful
945,[40-50),female,Jarir,جوال,5,تغليف جيد وتوصيل بوقت مناسب ,positive,truthful
948,[20-30),female,نمشي,فستان,5,الجودة والمقاس ممتاز جداً,positive,truthful
949,under 20,female,نمشي,جزمة,5,حلو ومقاساته كويسة وارخص من السوق ,positive,truthful
950,under 20,female,نمشي,حقيبة,5,كويسة وتشيل ,positive,truthful
951,[20-30),female,قولدن سنت,عطر ,5,جمييل جداً,positive,truthful
952,[20-30),female,Noon,سماعة,5,كنت متخوفه ماتكون اصليه بس طلعت اصليه انصح فيها👍🏻,positive,truthful
953,[20-30),female,نمشي,معطف,5,يدفي من قلبب وسعره راح يهز الميزانيه ثلاث شهور بس يستاهل👍🏻,positive,truthful
955,[20-30),female,Noon,سماعه,5,منتج جميل ورائع انصح به,positive,truthful
957,[40-50),female,سكستي تستريت,حقيبه,5,شكراً على جودة المنتج,positive,truthful
959,[20-30),female,فوغاكلوسيت,معطف ,5,رهيب والقماش جودته كويسه ,positive,truthful
960,[50-60),female,Noon,حقيبة,5,منتج ممتاز وسعر معقول,positive,truthful
962,[20-30),female,amazon,سماعة بلوتوث,5,جميلة جدًا وخفيفه والمايك حقها يعتبر حلو مقارنه بسعرها,positive,truthful
963,[20-30),female,سيڤي,حقيبة,5,جميل جداً والخامه جميلة وكبيره تكفي الكتب والايباد,positive,truthful
964,under 20,female,Noon,ايباد,5,ممتاز.. توصيل سريع ومنتج في افضل حالاته من الموكل مباشرة,positive,truthful
965,[20-30),female,shein,فستان,5,جميل جدًا الفستان ونوع قماشه ثقيل وصراحة بالنسبة لسعره اعطيه ١٠٠/١٠٠ مرره حلو ويستحق الشراء انصحكم فيه ,positive,truthful
966,under 20,female,نمشي,حقيبة,4,جميل,positive,truthful
967,[20-30),female,shein,فستان,4,حلو ,positive,truthful
968,[20-30),female,نمشي,حقيبة,5,جيد,positive,truthful
969,[20-30),female,Noon,دفاتر رسم ,3,جودة مقبولة بالنسبة للأسعار وسرعة التوصيل تُذكر ,positive,truthful
970,[20-30),female,Noon,حقيبة ظهر للأطفال,5,الشنطة تجنن 👍🏼 حبيتها وحبيت حجمها جداً مناسب اللهم لك الحمد 😍,positive,truthful
971,[20-30),female,Noon,كواية بخار ,5,الكواية تجنن وتكوي بتمريره وحده مررره حبيتها 🤩 وخصمها مره حلو على جودتها تعتبر لقطة 😋❤️,positive,truthful
972,[30-40),male,Noon,ميزان الكتروني,5,منتج رائع,positive,truthful
973,[40-50),female,قصة,مناديل قصة 500 مفرد,5,ممتازه وسعرها جدا معقول وجودتها رائعه والكميه مناسبة للسعر المعروض وراح اكرر التجربه,positive,truthful
974,[40-50),female,متجر النوادر ,بخور,4,"سعرها مره حلو بالنسبة لجودتها , الرائحه مقبوله ينفع بشكل يومي فقط ",positive,truthful
975,[20-30),female,شي ان,مجموعه غطاء المخدات,4,مره حلوه المجموعه وغسلتها اكثر من مره ولا بهتت الالوان بس خياطتها مو واو ,positive,truthful
976,under 20,female,شي ان,جوارب,5,اكثر شي حلو بالطلبيه هي,positive,truthful
977,under 20,female,شي ان,قلادة,5,تجنن طلبتها لي ولاختي بس جت اغمق,positive,truthful
978,under 20,female,شي ان,سلسلة مفاتيح,4,مره كيوت بس انها صغيره مره ,positive,truthful
979,under 20,female,شي ان,ورق صابون,4,مره حلوه ولازم تكثرون عشان يتفاعل الصابون معكم ,positive,truthful
981,[20-30),female,amazon,مكياج ,5,جميل جدا وجودته جيدا وسعر مناسب ,positive,truthful
982,[20-30),female,shein,ملابس ,5,الجوده مره حبيتها ماتوقعتها تكون زينه🥹 خاصتا ماركتdazy من شي ان مره حلوه ,positive,truthful
983,[20-30),female,موقع ايوا eyewa,نظارة شمسية,5,نظارة جميلة جدًا وسعرها رائع، انصح بشكل عام للنظارات الطبية والشمسة والعدسات يوفر خيارات كثيرة ومرنة. ,positive,truthful
984,[20-30),female,Noon,مكينة قهوة Black and decker ,5,جميلة جدًا وعملية تستطيع برمجتها لوقت الدوام او اي وقت آخر تجلس معك لسنوات ,positive,truthful
985,[20-30),female,shein,فستان,4,جميل يصلح لمناسبات,positive,truthful
986,[20-30),female,Noon,سماعة,5,المعروف لا يعرّف,positive,truthful
987,[20-30),male,Noon,آيفون 14,5,الآيفون غني عن التعريف،  ولكن عتبي على وزنه؛ ثقييييل!,positive,truthful
988,[50-60),female,جودة,عصارة,3,سهلة التركيب والغسل وحجمه ممتاز,positive,truthful
989,[50-60),female,amazon,أدوات رياضية ,5,اسعرها حلوه سرعة باتوصيل ,positive,truthful
990,[50-60),female,Noon,اكل للقطط,4,منتجات عليه الجوده,positive,truthful
991,[40-50),female,سنتربوينت,كرسي سياره للأطفال ,5,الكرسي رائع ومريح للطفل سواء جالس او نائم ,positive,truthful
992,[40-50),female,shein,شال من الصوف,5,الشال دافي وخامته رائعه وناعمه وحجمه مناسب ,positive,truthful
993,[40-50),female,فوقا كلوزيت,فستان سهره ,4,الفستان خامته رائعه لكن المقاس يحتاج ان تاخذ اصغر من المقاس المطلوب,positive,truthful
994,[30-40),female,سنتربوينت,ملابس,5,جميل من الخامه والمقاس والتوصيل السريع,positive,truthful
995,[30-40),female,نمشي,حذاء,5,رائع الشكل والمقاس ومريح ,positive,truthful
996,[40-50),female,shein,ملابس,5,جميله ونفس صوره العرض,positive,truthful
997,[40-50),female,amazon,راديو,5,كان جيد ونفس المواصفات المذكوره,positive,truthful
998,[40-50),female,shein,ملابس,5,جميع القطع رائعة,positive,truthful
999,[20-30),female,احد المتاجر التابعه لمنصة زد,ادوات للعناية بالقطط ,4,الدراي فود جيد تقبلته القطه تماماً وأحبته ، المناديل المبلله رااائعه جداً رائحتها لطيفه ووصلتني حبتين ( حبه مجاني ) ايضاً مناديل الاسنان رائحتها منعشه ، الرمل كميته كبيره وجيده ,positive,truthful
1000,[20-30),female,shein,جاكيت,5,الجاكيت رائع ورهيب والخامه كويسه يدفي مره ، الخياطه نظيفه وجودته ممتازه جدا حتى بعد الغسل لايتغير ابدا,positive,truthful
1001,[20-30),female,ستايلي,فستان,5,اعجبني الفستان اللذي قمت بـ اختياراته من قماش وتصميم ,positive,truthful
1002,(under 20),female,shein,كنزة صوف,4,اكمامها طلعت كبيرة ,positive,truthful
1003,(under 20),female,shein,خرز يضئ في الظلام,5,يجنن وفيه 15 لون ,positive,truthful
1004,(under 20),female,shein,لباس علوي,4,تجنن حرفيا وتنفع مع كل شي ,positive,truthful
1005,(under 20),female,shein,سلك اكسسوارات,4,طلبت مقاس 1 على بالي بيصير نحيف بس طلع سميك مرا مرة ,positive,truthful
1006,(under 20),female,shein,خاتم,4,مرةة يجنن ويتوسع ويتصغر من ورا ,positive,truthful
1007,(under 20),female,shein,كارديجان,4,حلوة مرة بس طلعت ممرررةة كبيرة مع اني حطيت سمول بس عطيتها اختي ,positive,truthful
1008,(under 20),female,shein,جوارب,4,مرةة كاواي ,positive,truthful
1009,(under 20),female,shein,كارديجان,4,تجننن حرفياا ,positive,truthful
1010,(under 20),female,shein,بلوفر,4,حلو بس اللون مو نفس الصورة ,positive,truthful
1012,(under 20),female,shein,خاتم,4,يجنن بس واسع علي يحتاج يد شوي كبيرة ,positive,truthful
1013,(under 20),female,shein,اكسسوارات خرز,4,حلو مرة بس لو انتم من النوع اللي يحب يسوي ورد وضفدع وكرز فيها مارح ينفع الخيط لانه كبير انصحكم ب5.0 ,positive,truthful
1014,(under 20),female,shein,حذاء,4,حلوةة مرة بس جيبوا على قياسكم ,positive,truthful
1015,(under 20),female,shein,خاتم,4,حلو بس انه يدي صغيرة ما جاء على قياسي صار واسع شوي ,positive,truthful
1016,(under 20),female,shein,لمبة فطر,4,كيوت مرة وما يحتاج بطارية يشتغل من نفسه ,positive,truthful
1017,(under 20),female,shein,ايلاينر,4,المزيل مو نفس اللي توقعته بس الايلاينر ثابت لابعد درجة ما ينشال بموية لازم مزيل ,positive,truthful
1018,(under 20),female,shein,حقيبة,4,واسعة وفيها جيوب كثيرة ,positive,truthful
1019,(under 20),female,shein,حقيبة,4,تجنن وكبيرة تكفي عبايتي ,positive,truthful
1020,(under 20),female,shein,كتاب تخزين أقراط ,4,حلو واكبرمن الصورة بكثيرر ,positive,truthful
1021,(under 20),female,shein,علبة مجوهرات,4,حلوة وكبيرة تضف كل خواتمك ,positive,truthful
1022,(under 20),female,shein,أقراط,4,تجنن بس اصغر من الصورة انصحكم فيها+ نو ثقيل مرة تحس ثقله وسط ,positive,truthful
1023,(under 20),female,shein,قلادة,4,بلاستيكه عريض مرة ,positive,truthful
1024,(under 20),female,shein,حقيبة,4,حلوة وفيها جيبة صغغيررة من جوا ,positive,truthful
1025,(under 20),female,shein,قلادة,4,حلو بس ترا يجي بكيس مو ب ورقة سلاسل ,positive,truthful
1026,(under 20),female,shein,تنورة,4,جت على مقاسي وخامتها تجننن ,positive,truthful
1027,(under 20),female,shein,دفتر,4,حلو بس صغير ,positive,truthful
1028,(under 20),female,shein,ورق  زينة,4,حلوة بس اصغر من اللي توقعته بحجم يد رضيع ,positive,truthful
1029,(under 20),female,shein,طقم مجوهرات,4,حلو بس القرط فيه مشكلة يعلق احيانا بالاذن انتبهوا!! ,positive,truthful
1030,(under 20),female,shein,قلادة,4,حلوة بس القلوب احيانا تضابق وتصير وحدة فوق وحدة تحت ضبطوها قبل اللبس ,positive,truthful
1031,(under 20),female,shein,قلم الكتابة على الشاشة,5,مرة يجنن بس انتبهوا ترا فيه قطعة شفافة على رأس القلم لا تشيلونها هي اساسا كذا ولو تنتبهون بالصور القطعة الشفافة موجودة بس انا ما شفتها لأنها مو واضحة ,positive,truthful
1032,(under 20),female,shein,منشفة,4,حلوة بس ترا اللون اللي يجيك عشوائي ,positive,truthful
1033,(under 20),female,shein,ملصقات,4,تجنن🫶 ,positive,truthful
1034,(under 20),female,shein,طوق شعر,4,حلوات بس مو على الشعر المربوط يصلح على المفرود اكثر ,positive,truthful
1035,(under 20),female,shein,حامل قلم,4,يجنن مرة كفى كل اغراضي ,positive,truthful
1036,(under 20),female,shein,مجموعة قلائد,4,حلوة بس تصدي بسرعه ,positive,truthful
1037,(under 20),female,shein,قلادة,4,حلوة مرةة وما صدت معي ابداا ,positive,truthful
1038,(under 20),female,shein,خاتم,4,شكله حلو ينفع للمناسبات ,positive,truthful
1040,[20-30),female,Noon,محول,5,تؤدي الغرض وسعرها راائع استخدمها لتوصيل usb سماعة سوني اللاسلكية في الايفون والصدق فكت أزمة أنصحكم بها,positive,truthful
1041,[20-30),female,Noon,حامل جوال للسيارة,4,ممتازة وما تخلي الجوال يطيح لكن انتبهوا أثناء تركيبها في السيارة والجوال ركبوها بمكان مناسب,positive,truthful
1043,[20-30),female,Noon,حذاء رياضي,4,أول أسبوعين من تجربته حسيته مو مناسب لحجم قدمي كأنه العرض أصغر لكن مع الأيام والتعود صار مريح جدًا,positive,truthful
1044,[20-30),female,stradivarius,بنطلون,5,طلبت سابقا من عندهم بنطلون جينز وكانت جودة القماش والمقاس مثاليين ورجعت طلبت بنطلون جينز من لون اخر وعجبني جدا,positive,truthful
1045,(under 20),female,shein,هيلهوب,4,مو مبطن ابدا ابدا بس انه اثقل من اللي بالمحلات,positive,truthful
1046,(under 20),female,shein,روج,4,قلوس مخلوط مع روج لونه رهيب ويصلح للدوامات والكشخة الخفيفة وما يدبق بس ما ظنيت انه ثابت صورت لكم اللون بس,positive,truthful
1047,(under 20),female,shein,هودي,4,مقاسي بالضبط ،جدا حلو بس خامته مو ثقيلة يعني خفيفة اكثر ,positive,truthful
1048,(under 20),female,shein,خاتم,4,الحجر لونه رهيب ويتوسع ويتصغر بس ينكسر بسرعة مرة ثاني مرة اشتريه ,positive,truthful
1049,(under 20),female,shein,بنطلون,4,لو اكتب ستين سطر ما اقدر اوصف قد ايش هو يجنن تقدر توسعه وتضيقه من فوق ومريح بشكل رهيب وخامته جيدة وحجمه مناسب لي ,positive,truthful
1050,(under 20),female,shein,فرشاة شعر,4,جدا تجنن تفك التشابك بشكل رهيب جدا بس جتني بعض الاسنان معفطة ,positive,truthful
1051,(under 20),female,shein,ايلاينر,4,يجنن والفرشة حقته مو ثابتة وخشنة لا كانها فرشة رسم. ,positive,truthful
1052,(under 20),female,shein,قلادة خرز,4,حبيت بس مو كبير مرة يعني يكفي الرقبة وواسع شوي زيادة ,positive,truthful
1053,(under 20),female,shein,سلسلة مفاتيح,4,جيدة بس حجمها صغير ,positive,truthful
1054,(under 20),female,shein,كنزة صوف,4,خامتها لطيفة جدا ولونها حلو ومرتبة جدا تنفع على البلاطين اكثر من التنانير ,positive,truthful
1055,(under 20),female,shein,قلم هايلايتر,4,مرة يجنن لمعانه لونه ابيض + معليش على جودة الصورة ,positive,truthful
1056,(under 20),female,shein,بنطلون رياضي,4,مرةة زينة وخامتها ناعمة ولطيفة حبيت مرة ويستاهل جدا السعر ,positive,truthful
1057,(under 20),female,shein,قبعة,4,حلوة وناعمة جدا وبرضو واسعة تكفي الشعر وما تلصق بالراس ,positive,truthful
1058,(under 20),female,shein,خرز,4,الالوان جدا مميزة وجيدة وما تلاقيها باي صندوق خرز عامة مررةة صغير حجم الخرز بس يدخل بالخيط ، ما اتوقع تقدر تسوي فيه اي شكل مثل وردة او ما شابه ,positive,truthful
1059,(under 20),female,shein,قطاعة أطراف,4,هو جيد بس ما عرفت كيف استخدمه 💀 ,positive,truthful
1060,(under 20),female,shein,ربطة شعر,4,جداا جيدة تجمع كل الشعر بشكل جيد وقوية بس بنفس الوقت ما تضغط على الشعر بحيث تشده ,positive,truthful
1062,(under 20),female,shein,تنورة,4,جيدةة جدا بس انها تحتاج كوي تيجيك معفطة ,positive,truthful
1063,(under 20),female,shein,قطاعة ورق,4,جيدة وتقص كل شي ,positive,truthful
1064,(under 20),female,shein,خاتم,4,حلو مرة بس انه معقد شوي الحلو فيه تقدر تضيق وتوسع كل شي ما يهم صغر يدك ,positive,truthful
1065,[20-30),female,nice one,شامبوو,5,رائع، يخفف نفشة الشعر,positive,truthful
1066,[20-30),female,Asos,بلوفر,5,جمييل جداً و يدفي و شكله أنيق,positive,truthful
1067,[20-30),female,نمشي,حذاء,5,جودة المنتج ممتازه وبسعر مناسب,positive,truthful
1068,[20-30),female,نمشي,شنطة,5,رائعة جدًا نفس الصوره بالضبط وصلتني ,positive,truthful
1069,[20-30),female,Asos,بنطلون,5,البنطلون جيد لكن المقاس ليس مناسب ١٠٠%,positive,truthful
1070,[20-30),female,asos,بنطال,5,كنت أعاني من البحث عن شراء بنطال يجمع جميع الصفات المطلوبة من حيث القماش واللون والمقاس لكن ليس بعد استلام المنتج فالمواصفات مناسبة تمامًا للموجودة في الموقع، لا استطيع الانتظار لطلب باقي الألوان ,positive,truthful
1072,[20-30),female,ستايلي,بلايز,5,المقاس ضابط مره واللون يجنن,positive,truthful
1073,[20-30),female,nice one,مكياج ,5,الجودة مره حلوه ,positive,truthful
1074,[20-30),female,سيفي,فرشة بلشر ,5,كانت جداً جميلة وعملية واخذته بسعر مرهه خيالي في وقت التخفيضات ,positive,truthful
1076,[20-30),female,instagram,شنط صغيرة,5,كانت تجربة جداً جميلة وتم توصيله باسرع وقت  ,positive,truthful
1077,[20-30),female,ستايلي,كريم يدين ,5,ماركه معروفه وكان عليه تخفيض حلو الحمدلله ,positive,truthful
1078,[20-30),female,shein,جاكيت,5,كان رائع وجودة القماش رائعة وتنفع للشتاء كونها دافئة، الف شكر للمصداقية 🤍,positive,truthful
1080,[20-30),male,shein,معطف,5,جيد جدا والمقاس راكب جدا والقماش ايضا,positive,truthful
1082,[20-30),female,نمشي,حذاء رياضي,4,جودة الحذاء ممتازه بشكل عام وشكله حلو ونفس الي بالصوره لكن المفترض انه للرياضة ويكون مريح بس المنتج يعتبر ثقيل نوعا ما وضيق من الامام والاعلى يكون ماسك ف لازم تاخذ مقاس اكبر من مقاسك بحيث ما يضايقك ,positive,truthful
1084,[20-30),male,amazon,مذربورد ,4,تغليف ممتاز,positive,truthful
