age,gender,platform/name,product,rating,text,polarity,class
[20-30),female,Amazon,smart phone,1,الجوال ماهو نفس الصوره ولا نفس المواصفات ياخساره الفلوس,negative,deceptive
[20-30),female,namshi,Sports Shoes,1,صعب ارتدائه والخيوط تفك بسهولة خلال المشي وحجمه كبير على مقاسه ,negative,deceptive
[20-30),female,Amazon,smart phone,1,البطارية تخلص بسرعة والشاحن بطيئ! أسوأ جوال على الإطلاق,negative,deceptive
[20-30),female,Amazon,smart phone,1,حجمه كبير على اليد وثقيل ويطيح بسهولة وينكسر بسرعة,negative,deceptive
[20-30),female,Amazon,smart phone,2,ما معه ملحقات كافية شاحن ثنائي خربان وبدون سماعات حرامية الشركة هذي فلوس على ايش,negative,deceptive
[20-30),female,namshi,Necklaces,1,اسوء قلادة سببت لي حساسية,negative,deceptive
[20-30),female,aliexpress,coat,2,قماش المعطف سيء من اول غسله كمش,negative,deceptive
[20-30),female,Amazon,Microwave Ovens,2,لا انصح فيه البدائل كثيييرة وبسعر افضل,negative,deceptive
[20-30),female,Amazon,Perfume,2,سيء العطر لا انصح فيه,negative,deceptive
less then 20,female,Seller,حقيبة قماشية ملونة,1,الحقيبة سيئة جدا اشتريتها واستعملتها مرة واحدة تمزقت بسبب الخياطة السيئة قمت بخياطتها بنفسي مرة اخرى لاحقا قمت بغسلها لكن الطباعة التي كانت عليها اختفت وتشققت اصبحت قبيحة ولا يمكن استخدامها,negative,deceptive
less then 20,female,Seller,مطارة ماء,1,بعد فترة اسبوع من استخدامها اصبح طعم الماء فيها سيئا جدا ومرا و تغير لونها الى لون مائل للأصفر لم اعد استخدمها بعد اسبوعين فقط من شرائها لا تستحق سعرها ابدا,negative,deceptive
[20-30),female,Seller,كريم تقشير,1,مافيه منه اي نتيجة تُذكر ، نفسه نفس اي كريم بخمسين ريال ولا يسوى سعره,negative,deceptive
[20-30),female,Seller,عطر,1,الريحة ابد مو ثابته ووصلني مكسور,negative,deceptive
less then 23,female,Seller,يد سوني,2,توصيل جاني بعد اسبوعين و التغليف سي جدا زين ما انكسر 😒,negative,deceptive
less then 24,female,Seller,لصقات,1,صمغها ضعيف خلل يومن تطلع من مكانها,negative,deceptive
less then 25,female,Seller,كيبورد الوان,3,جاي لون واحد زي قوس قزح مايتغير,negative,deceptive
[20-30),female,Seller,اله قهوة بريفل,1,اشتريت الاله وكان بها مذاق سيء ، وكأن شخص قد اشتراها واعادها لغرض ما ؟,negative,deceptive
[20-30),female,Seller,اله قهوة - نوفا سيمونللي أبيا لايف,1,اشتريت هذا المنتج وكان به عيب مصنعي ولم تعوضوني ؟ مع انكم ذكرتم انه سيتم تعويض العميل عند وجود عيب مصنعي لكن تم تجاهلي مراراً وتكراراً !,negative,deceptive
[20-30),female,Seller,اله قهوة - Nespresso Inissia Coffee,1,لقد اشتريت هذا المنتج ولكن يبدو ان جودته رديئه ولا اضنها قد تستمر معي لأعوام,negative,deceptive
[20-30),female,Seller,باقة زهور,2,وصلتني الباقه غير عن الي طلبت والورد ذاااابل !!,negative,deceptive
[20-30),female,Seller,حلق,3,تغير لونه بعد ثلاث اسابيع 😔,negative,deceptive
[20-30),female,Seller,عبايه,1,تعاملهم سيء والتوصيل تأخر اكثر من شهر والخياطة من اسوء ما يمكن,negative,deceptive
[20-30),female,Seller,عقد مطلي ذهب,2,شكل المنتج جميل ولكن بسرعه يتغير لونه,negative,deceptive
[20-30),female,aliexpress,coat,1,سيئ سيئ جدا لا احد يطلبه نصيحة شكله غير تماما عن الصورة ولايدفي ما منه أي فايدة حتى شكله مو حلو,negative,deceptive
[20-30),female,Noon,Earphones,1,السماعة وصلت غير اللون اللي ابيه وصوتها واطي جدا ما اسمع فيها شي ندمت اني خذيتها للأسف,negative,deceptive
[20-30),female,Noon,Earphones,1,الشحن حق السماعة يأخذ وقت طويل على ما يشحن مره وفوق هذا يخلص بسرعة ما انصحكم تاخذونها,negative,deceptive
[20-30),female,Amazon,Perfume,1,العطر جاني مكسور واضح انهم مايهتمون بالتغليف ابدا تواصلت معهم وقالوا نحنا مو مسؤولين عن الشحن سلامات اجل من مسؤول اول واخر مرة اشتري من عندهم,negative,deceptive
[20-30),female,namshi,Necklaces,1,القلادة طلعت مرة كبيرة مو زي الصورة شكلها مره بشع ما جازت لي ابد انصحكم لا تاخذونها ما راح تعجبكم ,negative,deceptive
[20-30),female,Amazon,Perfume,1,ريحة العطر تصدع الراس ندمت اني اخذته ريحته مره مو مقبولة ماعجب ولا احد من اهلي,negative,deceptive
[20-30),female,aliexpress,coat,1,مو نفس الصورة ابدا ومقاسه مره صغير علي مع اني تاكدت من قائمة القياسات بالموقع حسافة الفلوس عليه ما يستاهل ابدا,negative,deceptive
[20-30),female,Amazon,Microwave Ovens,1,الجهاز لا يعمل بشكل جيد انه يحتاج وقتا طويلا حتى يسخن الطعام وكذلك الباب يصدر صوتا مزعجا لم يعجبني ذلك ابدا,negative,deceptive
[20-30),female,Al Majlis Al Khaleeji,,1,اذا انت جوعان نصيحه لاتجي لانهم بيلطعونك ساعة طلبت منهم نفر مندي المندي كان غريب لا ريحة مندي و لا طعم  اللحم طعمه سيئ خسارة فلوس غير تأخير الطلب لو في صفر عطيته ما يستاهل حتى نجمة,negative,deceptive
[20-30),female,Al Majlis Al Khaleeji,,1,اوفر الكميات مرة قليلة كانها بقايا وأسعار الاطباق مرة غالية رحت افطر فيه الكبدة من اسوء مايكون وباقي الأصناف اقل من عادية غير ان ريحة المكان تسد النفس وتعامل الموظفين كانهم مغصوبين يخدمونك ومكشرين من اسوء المطاعم اللي جربتها,negative,deceptive
[20-30),female,Al Majlis Al Khaleeji,,1,خذيت مجبوس كويتي وخذيت دجاج كابلي وملوخيه الاكل كانه مجمد مو طازج ابدا وريحته زفر الله يكرم النعمة والأسعار مبالغ فيها على الكميات اللي تقدم صفر من عشرة مو قد التوقع مستحيل اجي مرة ثانية,negative,deceptive
[20-30),female,Al Majlis Al Khaleeji,,1,توقعت القى جودة اكل كويسة على هالاسعار الغالية لكن لا جودة ولا طعم حرفيا ولاشي يستحق اني اشيد به ورائحة المكان سيئة بشكل مزعج والموظفين ما يعرفون يتعاملون مع الزباين وازعاج اطفال,negative,deceptive
[20-30),female,Al Majlis Al Khaleeji,,2,المطعم غير نظيف أبدًا، الفرشة وصخة، والأكل وصل بارد وطعمه كأنه بايت ,negative,deceptive
[20-30),female,Al Majlis Al Khaleeji,,1,ريحة قلي السمبوسة وصلت عندي، يا ليت لو تنتبهون لرائحة المكان,negative,deceptive
[20-30),female,Al Majlis Al Khaleeji,,1,تجربتي مع المطعم كانت وجبة غداء طلبت سلة الفيليه وكان الطعم غير مقبول ملاحظ أن الفيليه المقلي كأنه كرتون ما أتوقع اني بكرر التجربة,negative,deceptive
[20-30),female,Almajlis Alkhaeeji,,1,كمية الأكل قليلة جدًا والمندي مندي بالاسم بس.,negative,deceptive
[20-30),female,Almajlis Alkhaeeji,,1,زرت المطعم لتناول وجبة الفطور طلبي كان صحن كبدة وفول وشاي ويجي معها خبز تميس للأسف رغم مزاعم المطعم بأن الكبدة طازجة إلا أن طعمها طعم لحم مجمد! هذا غير لون البيض المتغير ما رح أكرر التجربة.,negative,deceptive
[20-30),female,Almajlis Alkhaeeji,,2, الجلسات غير مريحة أبدا ويحتاج إلى الاهتمام بالنظافة كان طلبي نص شواية وجريش ومضغوط لحم الجريش كأنه خربان ما أعجبني، أما مضغوط اللحم فأعتقد أن اللحم غير طازج أو مستورد وكمية الرز القليلة جدًا,negative,deceptive
[20-30),female,Almajlis Alkhaeeji,,1,خدمات المطعم بطيييئة جدًاا لا ويخليك تحاسب قبل عشان يربطك ولا كأن عندك مواعيد والتزامات !!!,negative,deceptive
[20-30),female,Almajlis Alkhaeeji,,1,ما اعرف ليه المدح والسعر الغالي! لا جلسات حلوة ولا طعم مميز ! وحتى كمية الأكل قلييلة !,negative,deceptive
[20-30),female,armin,,2,المطعم حوسة يتأخرون جدًا في تقديم الأكل وإذا وصلك يكون بارد ,negative,deceptive
[20-30),female,armin,,1,المطعم إزعااااااج وتسمع سواليف الي بجنبك يعني إذا تبغى تتعشى فيه ما أنصحك أبددا,negative,deceptive
[20-30),female,armin,,1,طلبت كباب باللبن سيئ جدا اعطيه صفر والخبز حقهم كان محروق مطعم لا يرقى حتى لمسمى مطعم ندمت اني جيته اخر مره اجيه ,negative,deceptive
[20-30),female,armin,,1,طعم الاكل عادي والخدمة سيئة والاسعار مبالغ فيها جدا مقارنه بكمية الاكل القليلة يعني كباب الكرز سعره حول الميه وثلاث اسياخ بس وطعمه جدا عادي ما يستاهل,negative,deceptive
[20-30),female,armin,,1,مطعم فاشل بكل المقاييس تخيلو لقيت فستق بقشره داخل الكبة يعني لو مثلا كان ياكلها طفل ممكن تسبب له اختناق لا قدر الله وفوق هذا الأسعار عالية جدا وكميات الاكل قليلة والاكل كانه بايت الله يعز النعمة اذا حاب يجيك تسمم زورهم,negative,deceptive
[20-30),female,armin,,1,طلبت منهم شيش طاووق وبطاطا حارة أسعار المطعم عموما فلكية وطعم الاكل اقل من العادي والكميات قليلة وخدمتهم تسد النفس والمكان ازعاج,negative,deceptive
[20-30),female,Assaraya,,2,قسم العوائل فيه ازعاج وزحممه بشكل مو طبيعي واصوات بكاء الاطفال لا يحتمل على الرغم منه كبير والمشكله كنت حاجزه وجلست بالانتظار نص ساعه!! والتنظيف مو جيد ابدا حسافة الديكور والله ,negative,deceptive
[20-30),female,Assaraya,,1,المشويات ناشفه وتعلق بالحلق والكباب طعمه ماصخ والسلطه سيئة جدا انصدمت من الطعم واضح مو مغسوله الخضاروالموظفين غير متعاونين ,negative,deceptive
[20-30),female,Assaraya,,2,الاسعار ناار 🔥🔥 على غير سنع وتنقصه النظافة لا يستحق التجربة فيه غيره احسن ,negative,deceptive
[20-30),female,Assaraya,,1,تأخر في تجهيز الطلب معقوله انتظر ساعتين بس عشان 3 اطباق ؟! والمشكلة طريقة التقديم كانت سيئة والاكل كان بارد الله يكرم النعمه,negative,deceptive
[20-30),female,Assaraya,,1,مسنواهم نازل مره ماتقدر تكمل لقمتك من الطعم السيئ والغريب والاسعار طايره بشكل وهو مايسوى,negative,deceptive
[20-30),female,Assaraya,,1,خدمة سيئة الخبز يقدمه ناشف والأطباق توصل باردة وتفقد الشهية ,negative,deceptive
[20-30),female,Assaraya,,1,الأكل غير طازج والدجاج بارد من الداخل وكأنه فيه دم ومجمد، سيئ سيئ جدًا لأبعد حد غير احترافي ووصخ وتعاملهم سيئ ,negative,deceptive
[20-30),female,Assaraya,,2,الجلسة ضيقة وغير مريحة والأكل فيه رائحة زيارة لن تتكرر ,negative,deceptive
[20-30),female,Assaraya,,1,كمية الأكل قليلة مقابل السعر غالي على ايش، حتى الطعم عادي وأقل من عادي ,negative,deceptive
[20-30),female,Assaraya,,1,يقدمون الأكل بصحون وملاعق وصخة وممخشة من كثر الاستخدام.. قرف ,negative,deceptive
[20-30),female,Baalbek,,1,يالله ياكمية الاكل مره قليلة والسعر مبالغ فيه بشكل غير معقول ,negative,deceptive
[20-30),female,Baalbek,,2,الخدمة كانت سيئة والموظفين غير محترمين والاكل كان محروق وجاف ماينبلع الحسنة الوحيده بالمطعم الديكور,negative,deceptive
[20-30),female,Baalbek,,1,المطعم لا يرتقي للطعم اللبناني الاصيل طلبت كبة بلبن وحمص باللحمه ولحمة خروف محشي الاطباق بدون طعم وبارده واللحمه كانت مو ناضجه وقاسيه ,negative,deceptive
[20-30),female,Baalbek,,1,لا يستحق التجربه اللي يحب الطعم اللبناني يبعد عنه  ,negative,deceptive
[20-30),female,Baalbek,,2,الموظفين تعاملهم جاف وغير محترم معقوله اطلب اكثر من مره ولا احد يرد علي ويتحججون بالزحمه وهو مافيه الا عائلتين ماراح اكرر الزيارة ,negative,deceptive
[20-30),female,baalbek,,1,طلبنا حمص باللحم ووصلنا اخر شيء واللحم رائحته سيئة جدًا هذا غير الأطباق الثانية اللي واضح انها مو طازجة ,negative,deceptive
[20-30),female,baalbek,,1,الجلسات قريبة لبعضها وغير مريحة وما عندهم حواجز ولا حتى مكان ساتر كانت تجربة سيئة حتى الأكل وصل متأخر وما اعتذروا ,negative,deceptive
[20-30),female,baalbek,,1,السلطات بهذا المطعم دايم سيئة وما يغسلون الخضار توصل واضح انها وصخة وفعلًا هذا الأكل يحتاج بلاغ,negative,deceptive
[20-30),female,bahrya,,1,السمك سيئ جدًا ومليااااان زيت,negative,deceptive
[20-30),female,bahrya,,1,اليوم تغديت عندهم وطلبت منهم إني أشوف السمك الي راح يستخدمونه ورفض الكاشير رفض قاطع من الطعم شكل سمكهم أسود مدري وين وزارة التجارة عنهم,negative,deceptive
[20-30),female,bahrya,,1,ما انصح فيه  السمك مو طازج وفيه زفر جدا قوي وشوربة الكريمة سيئة الله يكرم النعمة غريب يعني اختصاصهم سمك المفروض يكون في اهتمام اكثر من كذا باكلهم ,negative,deceptive
[20-30),female,bahrya,,1,نصيحة لاتجربون تطلبون الجمبري حقهم حسافة كل ريال ضاع عليه شي غير قابل للاكل الله يعز النعمة كرهت الجمبري من بعده,negative,deceptive
[20-30),female,bahrya,,1,تصميم المكان وريحته تعطيك تجربة سيئة قبل تجرب الأكل اخذت طلبي سفري ما قدرت اتحمل الريحة الاكل اقل من المتوقع السمك مو طازج وحلقات البصل كانت محروقة لو في صفر كان عطيته سيئ جدا,negative,deceptive
[20-30),female,bahrya,,2,الأكل طعمه أقل من عادي وما كان مبهر كفاية وخبزهم شكله بايت بالاضافة إلى سوء نظافة المكان زعلني مره تجربه لن تعاد اقل من المتوقع بكثير للاسف ,negative,deceptive
[20-30),female,bahrya,,1,قلنا مطعم مأكولات بحرية بس سلامات اشم ريحة الزيت وانا عند الاستقبال بطلب! مستحيل تقدر تاكل داخل المطعم من فظاعة الريحة,negative,deceptive
[20-30),female,bahrya,,1,شارين روبيان مفرزن من السوبرماركت ويضحكون علينا انه طازج وفريش! ترا نفهم ونعرف نفرق,negative,deceptive
[20-30),female,bahrya,,1,طلبت سمك مقلي وجاني مليان زيت! هذا غير وساخة المكان,negative,deceptive
[20-30),female,bahrya,,1,لن اكرر التجربة، ولا صنف واحد جيد اما الباقي الله يديم النعمة,negative,deceptive
[20-30),female,lusin,,1,الموظفين تعاملهم سيء 😅 متخيلين جاية وما فيه زحمة ومخلينا ننتظر ساعة عند الاستقبال بحجة أن الطاولات محجوزة ؟؟!! ولما دخلنا أخيرًا جلس الطلب ساعة على بال ما وصلنا 🫠 المشكلة ليت الانتظار كان على شيء يسوا !!!!!,negative,deceptive
[20-30),female,lusin,,2,زرتُ المطعم لتناول الفطور مع أفراد العائلة. طلبنا كبة مشوية ولحم بالعجين وحمص وسلطة أرمنية وعصائر الأكل كله كان سييئ بشكل فضيع مو معقول عجزنا نكمل ربعه وخصيصا الحمص كان له رائحة غريبة وكأنه خربان ولما طلبنا من الموظف تبديله لنا رفض حتى يسمع كلامنا ورفع صوته علينا !!! يعني يفترض بمثل هذه الأماكن الراقية أن تُعامل الزبون معاملة راقية كذلك ! صراحه تعامل الموظفين هو نقطة فارقة تميز المطعم الاحترافي عن سواه,negative,deceptive
[20-30),female,lusin,,1,أمس جربت أتعشى من عندهم، وكان أسوأ قرار اتخذته السعر غالي على أكل ما يستاهل غير أن الكمية مرررة قليلة مطاعم أخرى تُقدم وجبات أفضل وبسعر أفضل آسفة على كل ريال دفعته ولن أكرر التجربة.,negative,deceptive
[20-30),female,lusin,,1,كميات الاكل قليلة جدا والاسعار غالية والسلطة كانت جدا مالحة شكلهم عطونا علبة الملح وخلو السلطة عندهم بالغلط وبالنسبة للجلسات كانت غير مريحة وقريبة من بعض هالشي مزعج جدا ,negative,deceptive
[20-30),female,lusin,,2,الأكل لابأس به لكن سعرهم مبالغ فيه يعني اعطيكم مثال المويه الصغيرة ب 14 ريال اتمنى يراجعون اسعارهم العاليه والمطعم فيه ازعاج شديد ما خلانا نستمتع بالقعدة,negative,deceptive
[20-30),female,lusin,,1,الأكل فيه طعم غريب الله يكرم النعمة وزفرة اللحم توصلك عن بعد متر وفوق هذا اسعار مرتفعة ,negative,deceptive
[20-30),female,lusin,,1,الرز ما كان مستوي ونظافة المكان لك عليها توقعت على هالاسعار جودة على الأقل متوسطة بس خيبوا امالي صراحة لن أكرر الزيارة,negative,deceptive
[20-30),female,lusin,,1,تاخروا ساعة على ما جابوا الأكل وفوق هذا كان في خطأ ما جابوا الشي اللي حنا طالبينه واللحم كان محروق عبارة عن فحم مو قد التوقعات ابدا,negative,deceptive
[20-30),female,lusin,,1,الاكل عااادي جدًا والاسعار مبالغ فيها اجل سعر العصير باربعين ريال!,negative,deceptive
[20-30),female,lusin,,1,لا ديكور ولا خدمة ولا اكل أتوقع مغلي الأسعار عشان ندفع رواتب العاملين,negative,deceptive
[20-30),female,madina,,1,تجربتي كانت غير موفقه للاسف طلبت الكبسه دماميه وكان فيها حراره وفلفل قوي وتحرق الفم قعدت ادمع من الحراره لما طلبت الموظف ماتعاون معي وتم تجاهلي مستحيل اكرر الزياره,negative,deceptive
[20-30),female,madina,,1,الزحمة مو طبيعية وموظف الاستقبال غير متعاون ولا يعطي وجه وباارد  ولما جينا نطلب جلسنا اكثر من نص ساعه بسبب انه فقط موظف واحد يأخذ الطلبات اتمنى يكون فيه زيادة ورقابة على الموظفيين,negative,deceptive
[20-30),female,madina,,1,مطعم ديكوره قديم وكل مكان مكسر، يحتاج تجديد بالديكور والأكل عادي ما يستحق زيارة أخرى,negative,deceptive
[20-30),female,madina,,2,طلبنا لحم ورز والبصل أكثر من الرز مو طبيعي، وفوق هذا خدمتهم سيئة أقول لهم يحطوه بدون بصل ويسحبون علي كأني ما قلت شيء,negative,deceptive
[20-30),female,madina,,1,الأكل بارد والمشروبات حارة ما حطوها بالثلاجة، ما أعجبني أبدًا لا أكل ولا خدمة,negative,deceptive
[20-30),female,madina,,2,الجلسات كتمة ورائحة دورة مياة الله يكرمكم واضحة، مطعم سيئ من كل النواحي ,negative,deceptive
[20-30),female,myazu,,1,أول شي المكان ازعاج  صوت الموسيقى مره عالي يعني اللي يبي يروق من الحين لا يروح له ثاني شي طلبت دجاج جيوزا كان اسوء طبق ذقته في حياتي الله يكرم النعمة وثالث شي أسعارهم مبالغ فيها ورابع شي هذه اول واخر مرة اجي عندهم,negative,deceptive
[20-30),female,myazu,,1,المطعم لازم حجز مسبق والاسعار خيالية مقارنة بكمية الاكل القليلة اللي يقدمونها والاكل عادي مافيه زود وفوق هذا الديناميت شرمب كان مرة مالح ما قدرت اكله تجربة سيئة للاسف لن تتكرر,negative,deceptive
[20-30),female,myazu,,2,ولا شي  بالمطعم يستحق العنوة أكلاتهم غريبة ومو متجانسة غير ان المحل فيه موسيقى عاليه جدا ومافي فواصل هذا الشي ضايقني ما أخذت راحتي أبدا كنت طول الوقت اكل بنقابي,negative,deceptive
[20-30),female,myazu,,1,من أسوء المطاعم اللي زرتها طلبي كان سلايدر برقر الخبزة كانت ناشفة والخس مدري كيف جاي كل ما تذكر تلوع كبدي قاعدين يقدمون لنا اكل غير صالح للاستهلاك باسعار مجنونة هذا غير الموسيقى الصاخبة اللي تصدع الراس مطعم سيئ بكل المقاييس,negative,deceptive
[20-30),female,myazu,,1,ندمت اني رحت وحجزت الاكل اقل من العادي والمكان مزعج بشكل يضايق جربت كيكة التمر حقتهم كان فوقها ايسكريم موز الله يكرم النعمة مدري من معطيهم هالوصفة شكلهم ماجربوا يذوقونها قبل يحطوها في المنيو وطلبت ماشروم روزيتو وسن شاين سوشي طعمهم مو افضل شي  بالاضافة الى ان اسعارهم مرة غالية ابدا ما انصحكم فيه,negative,deceptive
[20-30),female,myazu,,1,ماتدري انت تاكل سوشي ولا بلاستيك الله يكرم النعمة بس,negative,deceptive
[20-30),female,myazu,,1,الخدمة بطيئة جدًا وسيئة لا انصح بزيارته,negative,deceptive
[20-30),female,myazu,,1,مطعم منفوخ ولا يستاهل الزيارة,negative,deceptive
[20-30),female,Serafina,,1,الاكل غير مستساغ والتحضير واضح كان بمكونات غير ناضجه ولا يوجد تطور او تحسن في الطعم لن اكرر الزياره علما بأنها ليست الاولى,negative,deceptive
[20-30),female,Serafina,,1,مااصدق انه مطعم ايطالي البيتزا مليانه دهن وزيت وطعمها غريب للاسف اسوء المطاعم الايطاليه بالرياض  ,negative,deceptive
[20-30),female,Serafina,,1,الاسعار مبالغ فيها مرره طلبت صنفين باستا ووصلت فوق 150 ريال !!! اعوذبالله طفرت والباستا متكتله وطعمها الله يكرم النعمه ,negative,deceptive
[20-30),female,Serafina,,2, المكان غير نظيف فيه حشرات بكل مكان والحمامات رائحتها لاتطاق دخلت الحمام بغيت ارجع ,negative,deceptive
[20-30),female,Serafina,,1,الموظفيين تعاملهم غير جيد مع الاطفال ولدي يبكي من صراخ الموظف عشان ولدي بالغلط صقع الموظف وهو شايل الاكل مع اني اعتذرت وعرضت عليه ادفع مبلغ الاكل اللي طاح بس مامنعه يوقف صراخ حسبي الله طفل عمره سنتين جته صدمه نفسيه لو فيه اقل من 1عطيتهم ,negative,deceptive
[20-30),female,serafina,,1,على أساس انه مطعم إيطالي لكنه بعيد جدًا عن الاطباق الإيطالية ، البيتزا عجينتها ناشفه والمكرونه متلاصقة وطعمها الله يكرم النعمة,negative,deceptive
[20-30),female,serafina,,1,الموظفين طردونا لأننا قلنا لهم يقصروا الأغاني؟ خير حتى الأكل اللي دفعنا عليه ما عطونا إياه قلة احترام وسوء تعامل ,negative,deceptive
[20-30),female,serafina,,1,البيتزا عندهم شوي مكونات وكلها عجينة ناشفه وفوق هذا سعرها غالي، حرامية ,negative,deceptive
[20-30),female,shurfa,,1,جلسنا ساعتين حرفيا ننتظر الطلب واخر شي جاء بارد وناقص ومافيه ملح لن اكرر التجربه,negative,deceptive
[20-30),female,shurfa,,2,المطعم مستواه سيء جدًا من ناحية الخدمة والاستقبال وحتى الأكل طعمه غير مقبول,negative,deceptive
[20-30),female,shurfa,,1,الاطباق كانت متسخه والاكل جودته منخفضه والديكور قديم لا يستحق زياره مره ثانيه,negative,deceptive
[20-30),female,shurfa,,1,العاملون طول الوقت منشغلين ولا يستجيبون الا بعد تكرار كثير وغير لبقيين  والاكل ماكان بالجوده المتوقعه نهائيا!,negative,deceptive
[20-30),female,shurfa,,1,الجلسات مو مريحة كلها خشبية وتوجع الظهر، والأكل يوصل متأخر وبارد ومن دون نفس ,negative,deceptive
[20-30),female,shurfa,,1,طلبنا ريش لحم نصها عظام وشوي لحم وسعرها جدًا مرتفع والمقبلات تجي بصحون صغيرة ما تكفي حتى شخص والخبز يوصل ناشف وما يستساغ وفوق هذا خدمة بطيئة ,negative,deceptive
[20-30),female,shurfa,,2,مطعم غير متخصص، عنده اطباق كثيرة وكلها ما يسويها كويس، جربت كاري اللحم والفوتتيشيني وأوصال السمك جدًا سيئة ولن أعيد التجربة ,negative,deceptive
[20-30),Female,ritzcarlton,,2,حجم الغرفة أصغر من الصور والستائر وصخة ما أعرف متى اخر مرة نظفوها لكن كان فيها بقع واضحة جدًا ومقرفة فوق أنهم تأخروا بتسلم الغرفة ما نظفوها كويس,negative,deceptive
[20-30),Female,olian,,1,فندق سيئ للغاية تعامل الموظفين فظ جدا والغرف صغير وغير مريحة والسعر عالي اول واخر مرة اجيهم,negative,deceptive
[20-30),Female,Novotel Suites,,1,سعر الفندق مبالغ فيه على غرفة أقل من عادية أثاثها قديم واضح من يوم فتحوا الفندق ما غيروه,negative,deceptive
[20-30),Female,fourseasons,,1,ما أنصحكم بهذا الفندق الاضاءة بالغرفة سيئة ما فيه الا لمبتين ووحدة بدورة المياة وتطلع صوت والسرير غير مريح أبدًا كأنك نايم على حديد,negative,deceptive
[20-30),Female,Aber Al Takhassusi ,,1,رائحة الغرفه لا تطاق لا تستطيع الاستراحة فيها ولا النوم بسبب عدم تنظيف دوره المياه بشكل جيد,negative,deceptive
[20-30),Female,Novotel Suites,,1,ما انصح احد يحجز فيه سيء جدًا,negative,deceptive
[20-30),Female,Jareed,,2,مكتوب الغرفة فيها إطلالة ويوم وصلنا طلعت الإطلالة كئيبة وعلى مواقف سيارات والغرفة أقل من عادية تختلف تمامًا عن الصور,negative,deceptive
[20-30),Female,Fairmont,,1,فندق معروف وبالاخير المسبح وسخ، ليت لو تنتبهون لنظافة المسبح,negative,deceptive
[20-30),Female,Braira,,1,اقل من المتوقع لايستحق التقييم ,negative,deceptive
[20-30),Female,Gloria Inn ,,1,لن اكرر التجربة الفندق سيء والاسعار مبالغ فيها,negative,deceptive
